Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","2 Tms",1.2,5,21.59999996,0,4,0,0.8,0,0.8,0,0,0,1,-1.6612195872472326,-0.6618591411239292,18
"Total","Xavier Cedeno","3 Tms",4.1,19,12.46153847,2.07692308,6,2.07692308,0.31578947,0.05263158,0.2631579,0.222222222,1.15384615,0.27272727,0.55555556,4.0677716185199415,2.240549269854865,36
"Total","Rafael Betancourt","COL",0.2,4,13.49999993,0,1,0,0.25,0,0.25,0.25,1.49999999,0.33333333,0,0.13359376500000053,4.560615864711566,177
"Total","Jeremy Affeldt","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,583
"Total","LaTroy Hawkins","2 Tms",1.2,5,0,0,0,5.39999999,0,0,0,0.4,1.2,0.25,-1.66666667,10.9335937344,4.904402595197054,729
"Total","Kyle Lohse","MIL",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.13359376500000053,0.13359376500000053,739
"Total","Randy Choate","STL",0.2,3,0,0,0,0,0,0,0,0,0,0,1,7.633593727500001,9.847104777355783,813
"Total","Scott Carroll","CHW",2.1,11,3.85714286,7.71428573,0.5,0,0.09090909,0.18181818,-0.09090909,0.333333333,2.14285715,0.375,0.8,4.847879466734694,6.7451746645222626,888
"Total","Tim Hudson","SFG",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,921
"Total","Randy Wolf","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,976
"Total","Joe Beimel","SEA",0.2,4,13.49999993,13.49999993,1,0,0.25,0.25,0,0,1.49999999,0,0,4.6335937425000004,4.6335937425000004,979
"Total","Aaron Thompson","MIN",1.1,3,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,5.347104816457116,999
"Total","Ryan Vogelsong","2 Tms",1.1,7,6.75000002,6.75000002,1,0,0.14285714,0.14285714,0,0.333333333,2.25000001,0.4,0.33333333,3.8933187265315756,5.000074259760133,1011
"Total","Jake Peavy","SFG",0.2,5,26.99999987,0,2,13.49999993,0.4,0,0.4,0.6,4.49999998,1,-0.625,16.646560315343017,-0.3550384793439263,1051
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1118
"Total","Joe Nathan","CHC",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,1122
"Total","Jerome Williams","2 Tms",0.2,3,0,0,0,0,0,0,0,0.333333333,1.50000002,0.33333333,1,3.140077066421509,5.6384782117105825,1137
"Total","Tommy Hunter","6 Tms",8.1,31,1.08,0,1,0,0.03225806,0,0.03225806,0.275862068,0.96,0.28571429,0.6,3.642952317804306,4.961628656435282,1157
"Total","Matt Bush","TEX",1.2,7,5.40000002,0,1,0,0.14285714,0,0.14285714,0.6,1.80000001,0.5,0,1.9508314562103595,3.9327695818806503,1246
"Total","Adam Ottavino","3 Tms",5.2,29,9.52941178,9.52941178,1,1.5882353,0.20689655,0.20689655,0,0.333333333,2.29411765,0.375,0.0862069,6.53780538732834,6.119886752947922,1247
"Total","Blake Wood","2 Tms",6.2,29,6.75000001,8.10000001,0.83333333,0,0.17241379,0.20689655,-0.03448276,0.318181818,1.95,0.38888889,0.76923077,4.352654005292,4.619474950404497,1345
"Total","Nick Hagadone","CLE",0.1,3,0,27.00000027,0,0,0,0.33333333,-0.33333333,0,3.00000003,0,0,12.13359384,16.5606160061169,1351
"Total","Andrew Bailey","2 Tms",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.1400770664215094,6.60278867018382,1368
"Total","Charlie Furbush","SEA",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1370
"Total","Joaquin Benoit","2 Tms",1,5,18,0,2,9,0.4,0,0.4,0.4,2,0.5,0,12.152100038528442,2.5965070843696596,1437
"Total","Jon Edwards","2 Tms",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.13359378,6.13359378,1483
"Total","Oliver Perez","3 Tms",6.1,22,8.52631579,2.84210526,3,1.42105263,0.27272727,0.09090909,0.18181818,0.210526315,0.94736842,0.23076923,0.2173913,4.269162708122635,2.9981013426962684,1514
"Total","Sean Doolittle","3 Tms",3,12,12,0,4,0,0.33333333,0,0.33333333,0.363636363,1.33333333,0.5,1,0.49677391051015096,1.0848946193730913,1581
"Total","Javier Lopez","SFG",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.140077066421509,3.140077066421509,1663
"Total","Chris Capuano","2 Tms",1.2,6,10.79999998,0,2,10.79999998,0.33333333,0,0.33333333,0.333333333,1.2,0,3.75,16.34137370329025,3.5115430258106075,1701
"Total","Chin-hui Tsao","LAD",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,3.13359375,1776
"Total","Kevin Gregg","CIN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1793
"Total","Neal Cotts","2 Tms",2.1,12,7.71428573,7.71428573,1,0,0.16666667,0.16666667,0,0.5,2.57142858,0.5,0.83333333,3.9907366083673472,5.25560007355906,1797
"Total","Matt Belisle","3 Tms",3.1,10,16.20000002,0,6,2.7,0.6,0,0.6,0.1,0.3,0,2.5,3.4425721171099015,0.04225233777059412,1837
"Total","Edwin Jackson","3 Tms",3,14,3,3,1,0,0.07142857,0.07142857,0,0.454545454,2,0.45454545,0.57142857,4.502667405780874,6.8125873541600726,1841
"Total","Ryan Madson","2 Tms",2,12,9,0,2,0,0.16666667,0,0.16666667,0.454545454,2.5,0.5,0.4,1.1380667209177946,2.613740761533353,1852
"Total","Matt Moore","5 Tms",4,14,13.50000003,0,6,0,0.42857143,0,0.42857143,0.214285714,0.75,0.375,0,0.1620736045272011,1.7717456110457164,1890
"Total","David Aardsma","ATL",1.1,6,0,6.75000002,0,0,0,0.16666667,-0.16666667,0.4,2.25000001,0.4,0.33333333,5.383593755625,6.490349288853558,1902
"Total","Jason Frasor","KCR",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.13359378,6.13359378,1906
"Total","Matt Thornton","WSN",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,0,7.633593727500001,7.633593727500001,1918
"Total","Zack Greinke","KCR",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,0,-2.74495970050293,-2.74495970050293,1943
"Total","Ivan Nova","NYY",1.2,5,5.39999999,0,1,0,0.2,0,0.2,0,0,0,1,3.7465603816430173,4.745920827766321,1994
"Total","Justin Masterson","BOS",1,3,9,9,1,0,0.33333333,0.33333333,0,0,1,0,1,4.13359375,4.13359375,2038
"Total","Jorge De La Rosa","3 Tms",4.2,16,5.78571428,0,3,0,0.1875,0,0.1875,0.333333333,1.07142857,0.38461538,0,1.8715391713121665,4.049554810560187,2047
"Total","Jeremy Guthrie","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,2072
"Total","Chien-Ming Wang","KCR",2.1,12,3.85714286,0,1,0,0.08333333,0,0.08333333,0.5,2.57142858,0.54545455,0.33333333,2.2894175244756707,3.7170753095466456,2074
"Total","Adam Loewen","PHI",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,2134
"Total","Chris Narveson","MIA",0.1,2,27.00000027,0,1,27.00000027,0.5,0,0.5,0.5,3.00000003,0,2.5,36.13683573818645,1.5638575143033384,2141
"Total","Alfredo Simon","CIN",0.2,2,0,13.49999993,0,0,0,0.5,-0.5,0,1.49999999,0,1,7.646560360343018,7.646560360343018,2155
"Total","Chad Qualls","2 Tms",1.1,6,13.49999993,6.74999997,2,0,0.33333333,0.16666667,0.16666667,0.2,1.49999999,0.33333333,0,2.3976039106324434,2.3976039106324434,2170
"Total","Ronald Belisario","TBR",0.2,5,13.49999993,0,1,0,0.2,0,0.2,0.6,4.49999998,0.75,0,0.13359376500000053,0.13359376500000053,2203
"Total","Blaine Boyer","4 Tms",7,27,2.57142857,3.85714286,0.66666667,1.28571429,0.07407407,0.11111111,-0.03703704,0.272727272,1.28571429,0.23809524,0.39473684,5.718727711256054,5.952020862472901,2237
"Total","Brandon Gomes","TBR",3.2,16,9.81818181,0,4,2.45454545,0.25,0,0.25,0.466666666,1.90909091,0.54545455,0.53571429,4.497230112396695,3.366514907159168,2267
"Total","Joel Peralta","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.1400770364215087,2.6384781817105813,2332
"Total","Hector Rondon","3 Tms",3.2,12,7.36363638,0,3,0,0.25,0,0.25,0.166666666,0.54545455,0.22222222,0.5,1.5602186086441705,2.6452400007732493,2391
"Total","Cory Rasmus","LAA",1,4,9,0,1,0,0.25,0,0.25,0,0,0,1,1.1422381719385672,1.1422381719385672,2413
"Total","Corey Kluber","BOS",0.2,3,0,0,0,0,0,0,0,0.333333333,1.49999999,0.33333333,1,3.25504035949707,8.215095596547151,2429
"Total","Jhoulys Chacin","3 Tms",3.2,13,7.36363634,2.45454545,3,0,0.23076923,0.07692308,0.15384615,0.333333333,1.36363636,0.44444444,0.6,2.3409992767807646,3.552210602887713,2608
"Total","Scott Atchison","CLE",0.2,3,13.49999993,0,1,13.49999993,0.33333333,0,0.33333333,0.333333333,1.49999999,0,5,19.6335936675,2.347104814855783,2642
"Total","Brian Matusz","BAL",0.2,7,0,27.00000027,0,0,0,0.28571429,-0.28571429,0.6,7.50000008,0.6,0.6,12.140077156421508,14.638478301710585,2646
"Total","Brett Cecil","2 Tms",4.2,20,11.57142856,0,6,0,0.3,0,0.3,0.411764705,1.5,0.5,0.28571429,0.5854260462914991,1.7016891232215543,2660
"Total","Joba Chamberlain","CLE",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,0,7.646560360343018,10.144961468156072,2692
"Total","Jake Brigham","ATL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,2851
"Total","Ross Detwiler","8 Tms",3.2,15,9.81818186,0,4,2.45454547,0.26666667,0,0.26666667,0.285714285,1.0909091,0.3,-1.15384615,4.520940251490873,2.7618291255846583,2859
"Total","Santiago Casilla","OAK",1.1,6,0,6.75000002,0,0,0,0.16666667,-0.16666667,0,0.75,0,0.5,7.660431587025147,8.89914291371101,2873
"Total","Luis Avilan","5 Tms",6.2,29,5.40000001,2.7,2,1.35,0.13793103,0.06896552,0.06896552,0.37037037,1.8,0.40909091,0.47169811,4.813906227599026,4.5234521957815295,2882
"Total","Zach McAllister","3 Tms",5.1,27,11.81250003,5.06250001,2.33333333,5.06250001,0.25925926,0.11111111,0.14814815,0.375,2.25000001,0.42857143,0.25641026,9.546921208899773,5.077736549481239,2895
"Total","Josh Ravin","LAD",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.1400770364215087,0.1400770364215087,2951
"Total","Tony Watson","4 Tms",4.1,18,6.23076924,2.07692308,3,0,0.16666667,0.05555556,0.11111111,0.411764705,1.84615385,0.5,0.375,2.478201836211939,2.8593437822248444,3132
"Total","Tim Collins","2 Tms",1.1,5,6.75000002,6.75000002,1,6.75000002,0.2,0.2,0,0.25,1.5,0,0,13.673826076907904,6.654441794413459,3164
"Total","David Price","2 Tms",2.1,10,11.57142859,3.85714286,3,0,0.3,0.1,0.2,0.222222222,1.28571429,0.33333333,0.66666667,1.8660911677024186,2.622246365892135,3184
"Total","Will Harris","2 Tms",8.1,27,10.8,0,10,1.08,0.37037037,0,0.37037037,0.192307692,0.6,0.25,0.27777778,2.323014278042481,1.5709974461052456,3192
"Total","Chris Young","KCR",3.1,18,10.80000001,2.7,4,5.40000001,0.22222222,0.05555556,0.16666667,0.352941176,2.1,0.36363636,0,9.44969545041208,5.158402333932208,3196
"Total","Ervin Santana","KCR",0.2,2,26.99999987,0,2,0,1,0,1,0,0,0,1,-2.829965847532959,-2.829965847532959,3200
"Total","Francisco Liriano","2 Tms",4.1,12,2.07692308,0,1,2.07692308,0.08333333,0,0.08333333,0.272727272,0.69230769,0.2,1,5.726454193874131,3.5959954647563355,3201
"Total","Jean Machi","3 Tms",1.1,4,0,0,0,0,0,0,0,0.333333333,0.75,0.25,0,3.1396052360083804,4.473709963572024,3220
"Total","T.J. McFarland","5 Tms",13.1,48,5.39999999,5.39999999,1,0.675,0.16666667,0.16666667,0,0.23076923,1.275,0.25806452,0.51282051,4.742715582998044,4.656453652975449,3237
"Total","Zack Britton","NYY",0.1,6,0,108.00000108,0,0,0,0.66666667,-0.66666667,0.5,15.00000015,0.5,0.8,39.123715406377194,44.90856059288108,3240
"Total","Angel Castro","OAK",0.2,3,26.99999987,0,2,0,0.66666667,0,0.66666667,0.333333333,1.49999999,1,1,-2.8664062199999996,-2.8664062199999996,3243
"Total","Roberto Hernandez","HOU",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,7.560615849711565,3273
