Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","KCR",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,18
"Total","Xavier Cedeno","TBR",0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,36
"Total","Fernando Rodney","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
"Total","Joe Beimel","SEA",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
"Total","Tommy Hunter","PHI",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1157
"Total","Matt Bush","TEX",0.2,6,2,0.25,0.5,0.25,0,0,0.5,0,0.5,0,0.5,0.5,0.25,0.25,1246
"Total","Adam Ottavino","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247
"Total","Blake Wood","CIN",0.2,4,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1345
"Total","Nick Hagadone","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351
"Total","Andrew Bailey","NYY",0.1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1368
"Total","Jon Edwards","SDP",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483
"Total","Oliver Perez","2 Tms",1.1,4,0.333333333,0,0.25,0.75,0.333333333,0,0,0,0.5,0.25,0.25,0.5,0.5,0,1514
"Total","Ryan Madson","KCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852
"Total","Jhoulys Chacin","COL",0.2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2608
"Total","Scott Atchison","CLE",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2642
"Total","Fabio Castillo","LAD",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2826
"Total","Ross Detwiler","MIA",0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2859
"Total","Santiago Casilla","OAK",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2873
"Total","Luis Avilan","2 Tms",0.2,2,2,0,1,0,0,0,0.5,0,0.5,0.5,0,0,1,0,2882
"Total","Zach McAllister","CLE",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2895
"Total","Josh Ravin","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951
"Total","Tony Watson","2 Tms",1,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3132
