Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","PIT",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,18
"Total","Xavier Cedeno","3 Tms",0.2,4,13.50000014,0,1,0,0.25,0,0.25,0.5,3.00000003,0.66666667,-0.5,0.1482844767882514,0.1482844767882514,36
"Total","Rafael Betancourt","COL",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.13359375,3.13359375,177
"Total","Fernando Rodney","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,494
"Total","Grant Balfour","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,718
"Total","Joe Beimel","SEA",0.2,4,0,13.49999993,0,0,0,0.25,-0.25,0.5,2.99999999,0.33333333,0.5,7.633593727500001,9.847104777355783,979
"Total","Tommy Hunter","3 Tms",1.1,4,13.50000003,0,2,0,0.5,0,0.5,0,0,0,1,0.14087589744132245,1.251152953185756,1157
"Total","Matt Bush","TEX",0.2,3,13.50000014,0,1,0,0.33333333,0,0.33333333,0.5,1.50000002,0.5,-1,0.15709893089646032,2.655500076185533,1246
"Total","Adam Ottavino","4 Tms",1.2,4,5.40000002,0,1,0,0.25,0,0.25,0,0,0,1,1.9741831257032405,2.965152188538386,1247
"Total","Blake Wood","CIN",0.1,2,27.00000027,0,1,27.00000027,0.5,0,0.5,0.5,3.00000003,0,1,36.157640024213876,2.494058584491585,1345
"Total","Andrew Bailey","2 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.141373729690251,7.568395829401816,1368
"Total","Joaquin Benoit","PHI",0,1,0,0,0,0,0,0,0,1,1,1,-2,3.1576396942138674,4.9364459931850435,1437
"Total","Jon Edwards","SDP",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1483
"Total","Oliver Perez","2 Tms",0.2,3,13.50000014,0,1,0,0.33333333,0,0.33333333,0.5,1.50000002,0.5,-2,0.18028489927551306,2.6786860445645857,1514
"Total","Sean Doolittle","CIN",0.1,3,0,27.00000027,0,0,0,0.33333333,-0.33333333,0.5,6.00000006,0.5,0,12.17003421246704,17.46312064516437,1581
