Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","5 Tms",2.2,10,3.37500001,0,1,10.12500003,0.1,0,0.1,0.444444444,1.5,0.16666667,25,17.02654444954399,5.382100791123348,18
"Total","Xavier Cedeno","4 Tms",5.1,22,6.75,1.6875,4,0,0.18181818,0.04545455,0.13636364,0.3,1.3125,0.375,0.125,2.7687271165842833,3.045415999372631,36
"Total","Zach Phillips","PIT",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.146560382843018,3.146560382843018,99
"Total","Rafael Betancourt","COL",1,6,0,18,0,0,0,0.33333333,-0.33333333,0.25,3,0.25,0.33333333,9.13359375,12.084941831231117,177
"Total","Fernando Rodney","5 Tms",4,18,6.74999998,4.49999999,1.5,0,0.16666667,0.11111111,0.05555556,0.3125,1.75,0.38461538,0.42857143,3.1670330682215893,4.161636006711702,494
"Total","Jason Grilli","2 Tms",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,5.825849169352726,521
"Total","Jeremy Affeldt","SFG",1.1,3,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,4.240349283228558,583
"Total","Grant Balfour","TBR",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.13359384,16.5606160061169,718
"Total","LaTroy Hawkins","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,739
"Total","Randy Choate","STL",0.2,4,0,13.49999993,0,0,0,0.25,-0.25,0.333333333,2.99999999,0.33333333,0,7.633593727500001,9.847104777355783,813
"Total","Scott Carroll","CHW",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,0,12.13359384,16.5606160061169,888
"Total","Joe Beimel","SEA",1,8,0,18,0,0,0,0.25,-0.25,0.6,5,0.5,0.8,9.13359375,10.609267790615558,979
"Total","Aaron Thompson","MIN",1,4,0,0,0,0,0,0,0,0.25,1,0.25,0,3.13359375,6.084941831231117,999
"Total","Ryan Vogelsong","SFG",1,3,0,0,0,0,0,0,0,0,0,0,0,6.13359375,6.13359375,1011
"Total","Jake Peavy","SFG",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,1051
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1118
"Total","Jerome Williams","PHI",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1137
"Total","Tommy Hunter","5 Tms",8,30,3.375,5.62500001,0.6,0,0.1,0.16666667,-0.06666667,0.130434782,1,0.13636364,0.5,4.2818051412483635,6.735599550111241,1157
"Total","Matt Bush","2 Tms",4,16,9,2.25,4,2.25,0.25,0.0625,0.1875,0.307692307,1.25,0.33333333,0.2173913,5.893342387685472,4.259138886639768,1246
"Total","Adam Ottavino","4 Tms",11.1,44,11.11764705,5.55882353,2,0,0.31818182,0.15909091,0.15909091,0.125,0.97058823,0.17391304,0.45454545,2.5551126161267868,3.985832675034145,1247
"Total","Curtis Partch","PIT",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,1,7.646560360343018,7.646560360343018,1333
"Total","Blake Wood","CIN",4.1,15,12.46153847,0,6,4.15384616,0.4,0,0.4,0.266666666,0.92307692,0.28571429,-1.66666667,6.3824431444263965,1.9721694698836707,1345
"Total","Nick Hagadone","CLE",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.13359376500000053,2.347104814855783,1351
"Total","Andrew Bailey","2 Tms",1,6,9,18,0.5,0,0.16666667,0.33333333,-0.16666667,0,2,0,-0.5,7.143318724632263,10.09466680586338,1368
"Total","Charlie Furbush","SEA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1370
"Total","Joaquin Benoit","3 Tms",1.1,10,0,13.50000003,0,0,0,0.2,-0.2,0.666666666,4.50000001,0.5,-0.5,7.652891429155291,14.068702574109174,1437
"Total","Felix Doubront","TOR",0.2,2,0,0,0,0,0,0,0,0.5,1.49999999,0.5,0,3.1335937500000006,3.1335937500000006,1478
"Total","Jon Edwards","SDP",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1483
"Total","Oliver Perez","4 Tms",7,33,9.00000001,6.42857144,1.4,0,0.21212121,0.15151515,0.06060606,0.296296296,1.85714286,0.38095238,-0.23076923,3.309399523282741,6.005964686864526,1514
"Total","Sean Doolittle","4 Tms",5.2,29,6.35294118,6.35294118,1,0,0.13793103,0.13793103,0,0.347826086,2.11764706,0.4,0.38461538,4.386508320327698,7.110666218329775,1581
"Total","Francisco Rodriguez","DET",0.2,4,13.49999993,13.49999993,1,13.49999993,0.25,0.25,0,0.333333333,2.99999999,0,-3.33333333,24.15763958921387,7.3258491218295845,1642
"Total","Javier Lopez","SFG",2,6,9,0,2,0,0.33333333,0,0.33333333,0,0,0,1,1.140077066421509,1.8779140867292883,1663
"Total","Chris Capuano","2 Tms",1,3,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,-0.8620840390955493,0.8035167077744916,1701
"Total","Kevin Gregg","CIN",0.2,3,26.99999987,13.49999993,2,0,0.66666667,0.33333333,0.33333333,0,1.49999999,0,0,1.6335937575000006,1.6335937575000006,1793
"Total","Neal Cotts","2 Tms",4.1,12,8.30769231,0,4,0,0.33333333,0,0.33333333,0.09090909,0.23076923,0.125,-2,1.2874399024260361,2.3090603928688234,1797
"Total","Matt Belisle","3 Tms",4.2,22,7.71428573,1.92857143,4,1.92857143,0.18181818,0.04545455,0.13636364,0.333333333,1.71428572,0.375,-0.15151515,4.867640586323714,3.8336180332844334,1837
"Total","Edwin Jackson","4 Tms",1.2,8,5.39999999,5.39999999,1,0,0.125,0.125,0,0.428571428,2.4,0.5,0.5,3.7398411500158293,6.73792248838574,1841
"Total","Ryan Madson","4 Tms",7,22,10.28571429,1.28571429,8,0,0.36363636,0.04545455,0.31818182,0.055555555,0.28571429,0.08333333,0.66666667,1.717270451488852,2.5856471971982034,1852
"Total","Matt Moore","4 Tms",4.2,20,5.78571429,7.71428573,0.75,1.92857143,0.15,0.2,-0.05,0.266666666,1.71428572,0.25,0.15151515,7.272207865357361,5.865840296379551,1890
"Total","David Aardsma","ATL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1902
"Total","Jason Frasor","KCR",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,1906
"Total","Matt Thornton","2 Tms",2.1,9,7.71428573,3.85714286,2,0,0.22222222,0.11111111,0.11111111,0,0.42857143,0,-1,2.7068746969208806,5.236601627304305,1918
"Total","Buddy Carlyle","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,2010
"Total","Jorge De La Rosa","2 Tms",2.2,6,3.375,0,1,0,0.16666667,0,0.16666667,0,0,0,1,2.4086866507355382,2.4086866507355387,2047
"Total","Jeremy Guthrie","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,2072
"Total","Chien-Ming Wang","KCR",1,5,27,9,3,0,0.6,0.2,0.4,0.25,2,1,1,0.14656038284301776,0.14656038284301776,2074
"Total","Adam Loewen","PHI",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,3.13359375,2134
"Total","Chris Narveson","MIA",0.2,3,0,26.99999987,0,0,0,0.66666667,-0.66666667,0,2.99999999,0,1,12.141373684690251,12.141373684690251,2141
"Total","Alfredo Simon","CIN",0.2,6,0,0,0,13.49999993,0,0,0,0.8,5.99999997,0.6,-1.15384615,22.646560285343018,8.143362598469128,2155
