Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","6 Tms",25,31,11.04545455,5,1,0,10,9,2,2,0,2,7,0.185185185,0.29032258,0.444444444,0.3160672264714395,18
"Total","Xavier Cedeno","4 Tms",30,33,5.625,4,0,0,5,5,1,4,3,0,10,0.142857142,0.25,0.25,0.18296048970058046,36
"Total","Zach Phillips","PIT",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99
"Total","Rafael Betancourt","COL",7,9,13.5,2,1,0,3,3,1,1,1,0,2,0.25,0.333333333,0.75,0.41519559919834137,177
"Total","Bartolo Colon","TEX",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,375
"Total","Fernando Rodney","5 Tms",18,22,5.0625,1,0,0,5,3,0,5,0,0,7,0.058823529,0.272727272,0.058823529,0.19632284478707748,494
"Total","Jason Grilli","3 Tms",11,13,3,2,0,0,1,1,0,2,0,0,6,0.181818181,0.307692307,0.181818181,0.2413947949042687,521
"Total","Jeremy Affeldt","SFG",4,5,26.99999987,2,0,0,2,2,0,1,1,0,1,0.5,0.6,0.5,0.44041192531585693,583
"Total","Grant Balfour","TBR",1,4,81.00000081,1,0,0,3,3,1,1,0,1,0,0.5,0.75,2,0.8675668984651566,718
"Total","LaTroy Hawkins","2 Tms",6,9,0,2,0,0,0,0,0,1,0,0,4,0.25,0.333333333,0.25,0.2720545265409682,729
"Total","Kyle Lohse","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739
"Total","Randy Choate","STL",13,14,6,3,1,0,3,2,0,1,0,1,3,0.25,0.357142857,0.333333333,0.31592082551547457,813
"Total","Scott Carroll","CHW",4,5,0,0,0,0,0,0,0,1,0,0,1,0,0.2,0,0.13736860752105712,888
"Total","Joe Beimel","SEA",8,8,7.71428573,2,0,0,2,2,0,1,1,0,0,0.285714285,0.375,0.285714285,0.25166395732334684,979
"Total","Aaron Thompson","MIN",5,5,18,2,0,0,2,2,1,0,0,0,0,0.4,0.4,1,0.5892236232757568,999
"Total","Ryan Vogelsong","2 Tms",7,11,33.75000008,5,3,0,5,5,0,2,0,0,1,0.555555555,0.636363636,0.888888888,0.6264812404459174,1011
"Total","Rafael Soriano","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
"Total","Marco Estrada","TOR",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,1118
"Total","Jerome Williams","2 Tms",3,3,13.49999993,0,0,0,1,1,0,1,0,0,0,0,0.333333333,0,0.23020400603612265,1137
"Total","Tommy Hunter","6 Tms",45,59,11.57142859,17,4,1,18,18,4,3,0,0,12,0.303571428,0.33898305,0.625,0.4055807519767244,1157
"Total","Matt Bush","2 Tms",36,47,4.90909091,9,2,2,12,6,1,4,0,1,14,0.214285714,0.29787234,0.428571428,0.3109762668609619,1246
"Total","Adam Ottavino","4 Tms",79,100,3.6,22,5,1,11,10,1,8,3,1,27,0.241758241,0.31,0.351648351,0.28003534521024254,1247
"Total","Curtis Partch","PIT",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1333
"Total","Blake Wood","2 Tms",27,33,6.48,5,0,0,7,6,1,4,0,1,11,0.178571428,0.303030303,0.285714285,0.273174965020382,1345
"Total","Nick Hagadone","CLE",6,7,0,2,0,0,0,0,0,1,0,0,1,0.333333333,0.428571428,0.333333333,0.34978439126695904,1351
"Total","Andrew Bailey","3 Tms",10,14,22.50000011,4,0,0,5,5,1,4,0,0,1,0.4,0.571428571,0.7,0.5332481775965009,1368
"Total","Charlie Furbush","SEA",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1370
"Total","Joaquin Benoit","3 Tms",13,14,4.90909092,2,0,0,2,2,0,1,0,0,4,0.153846153,0.214285714,0.153846153,0.17486550126756942,1437
"Total","Jon Edwards","2 Tms",4,6,0,0,0,0,0,0,0,2,0,0,0,0,0.333333333,0,0.22952292362848917,1483
"Total","Oliver Perez","4 Tms",41,49,4.09090909,8,1,0,5,5,1,7,4,1,11,0.195121951,0.326530612,0.292682926,0.25186252858903674,1514
