Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","6 Tms",42,172,1.136363636,0.20338983,0.423728813,0.372881355,0.136363636,0.204545454,0.12,0,0.41176471,0.26890756,0.31932773,0.17647059,0.39495798,0.42857143,18
"Total","Xavier Cedeno","5 Tms",43,171,2.346153846,0.201834862,0.559633027,0.23853211,0.038461538,0.076923076,0.032786885,0.333333333,0.46428571,0.36607143,0.16964286,0.15178571,0.53571429,0.3125,36
"Total","Zach Phillips","PIT",1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,1,99
"Total","Rafael Betancourt","COL",20.1,92,0.586206896,0.269841269,0.269841269,0.46031746,0.103448275,0.068965517,0.058823529,0.5,0.30769231,0.29230769,0.4,0.18461538,0.49230769,0.32307692,177
"Total","Bartolo Colon","TEX",3.2,17,1.75,0.214285714,0.5,0.285714285,0,0.5,0,0,0.64285714,0.21428571,0.14285714,0,0.42857143,0.57142857,375
"Total","Fernando Rodney","8 Tms",69.2,322,1.762711864,0.212560386,0.502415458,0.285024154,0.084745762,0.186440677,0.019230769,0,0.38277512,0.35885167,0.25837321,0.20574163,0.46889952,0.32535885,494
"Total","Jason Grilli","3 Tms",57.1,239,0.617647058,0.219858156,0.29787234,0.482269503,0.102941176,0.19117647,0.047619047,0,0.32624113,0.34042553,0.33333333,0.20567376,0.44680851,0.34751773,521
"Total","Jeremy Affeldt","SFG",11.1,61,1.3125,0.159090909,0.477272727,0.363636363,0,0.25,0,0,0.25,0.45454545,0.29545455,0.11363636,0.52272727,0.36363636,583
"Total","Rhiner Cruz","TOR",1.2,7,1,0,0.5,0.5,0,0,0,0,0.25,0.25,0.5,0,0.75,0.25,711
"Total","Grant Balfour","TBR",2.1,7,0.4,0,0.285714285,0.714285714,0,0,0,0,0.71428571,0.14285714,0.14285714,0.14285714,0.57142857,0.28571429,718
"Total","LaTroy Hawkins","2 Tms",9.2,43,3.666666666,0.066666666,0.733333333,0.2,0,0,0,0,0.23333333,0.46666667,0.3,0.13333333,0.46666667,0.4,729
"Total","Kyle Lohse","MIL",4,19,0.428571428,0.285714285,0.214285714,0.5,0,0,0,0,0.21428571,0.64285714,0.14285714,0.28571429,0.35714286,0.35714286,739
"Total","Randy Choate","STL",10.2,48,2.75,0.189189189,0.594594594,0.216216216,0,0.25,0,0,0.24324324,0.43243243,0.32432432,0.16216216,0.67567568,0.16216216,813
"Total","Scott Carroll","CHW",7.2,38,1.714285714,0.208333333,0.5,0.291666666,0,0,0.083333333,0,0.4,0.36,0.24,0.16,0.72,0.12,888
"Total","Tim Hudson","SFG",0.1,2,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,921
"Total","Barry Zito","OAK",1,6,0.666666666,0,0.4,0.6,0.333333333,0.333333333,0.5,0,0.4,0.2,0.4,0.4,0.2,0.4,944
