Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","6 Tms",13,48,1.25,0.228571428,0.428571428,0.342857142,0.083333333,0.166666666,0.133333333,0,0.48571429,0.22857143,0.28571429,0.22857143,0.42857143,0.34285714,18
"Total","Xavier Cedeno","5 Tms",14.1,60,2.857142857,0.289473684,0.526315789,0.184210526,0,0,0.1,0,0.47368421,0.34210526,0.18421053,0.21052632,0.55263158,0.23684211,36
"Total","Zach Phillips","PIT",0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,99
"Total","Rafael Betancourt","COL",6.2,27,0.222222222,0.388888888,0.111111111,0.5,0.111111111,0,0,1,0.31578947,0.26315789,0.42105263,0.10526316,0.78947368,0.10526316,177
"Total","Bartolo Colon","TEX",1.2,10,2.5,0.222222222,0.555555555,0.222222222,0,1,0,0,0.55555556,0.22222222,0.22222222,0,0.22222222,0.77777778,375
"Total","Fernando Rodney","6 Tms",23.1,105,1.5,0.20289855,0.478260869,0.318840579,0.136363636,0.136363636,0.03030303,0,0.33333333,0.37681159,0.28985507,0.24637681,0.47826087,0.27536232,494
"Total","Jason Grilli","3 Tms",20.1,78,0.863636363,0.211538461,0.365384615,0.423076923,0.09090909,0.09090909,0.105263157,0,0.28846154,0.36538462,0.34615385,0.25,0.38461538,0.36538462,521
"Total","Jeremy Affeldt","SFG",4,23,0.625,0.1875,0.3125,0.5,0,0.375,0,0,0.125,0.5625,0.3125,0.1875,0.4375,0.375,583
"Total","Rhiner Cruz","TOR",0.2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,711
"Total","Grant Balfour","TBR",0.2,2,1,0,0.5,0.5,0,0,0,0,1,0,0,0,1,0,718
"Total","LaTroy Hawkins","2 Tms",3,15,1.25,0,0.555555555,0.444444444,0,0,0,0,0.33333333,0.33333333,0.33333333,0.11111111,0.44444444,0.44444444,729
"Total","Kyle Lohse","MIL",1.1,7,0,0.25,0,0.75,0,0,0,0,0,1,0,0,0.25,0.75,739
"Total","Randy Choate","STL",3,12,1.666666666,0.2,0.5,0.3,0,0.333333333,0,0,0.1,0.4,0.5,0.3,0.6,0.1,813
"Total","Scott Carroll","CHW",2.2,12,0.8,0.1,0.4,0.5,0,0,0,0,0.3,0.3,0.4,0.3,0.6,0.1,888
"Total","Barry Zito","OAK",0.1,4,0.5,0,0.333333333,0.666666666,0,0.5,1,0,0.66666667,0,0.33333333,0,0.33333333,0.66666667,944
"Total","Joe Beimel","SEA",4.1,21,0.555555555,0.222222222,0.277777777,0.5,0.111111111,0.111111111,0,0,0.27777778,0.38888889,0.33333333,0.22222222,0.38888889,0.38888889,979
"Total","Aaron Thompson","MIN",3.2,16,2.333333333,0.09090909,0.636363636,0.272727272,0,0,0.142857142,0,0.36363636,0.36363636,0.27272727,0.09090909,0.90909091,0,999
"Total","Ryan Vogelsong","2 Tms",1.1,5,3,0.25,0.75,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1011
"Total","Jake Peavy","SFG",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051
"Total","Rafael Soriano","CHC",0.2,4,0.333333333,0,0.25,0.75,0.333333333,0,0,0,0.25,0.5,0.25,0.5,0.25,0.25,1100
"Total","Ichiro Suzuki","MIA",0.1,2,1,0,0.5,0.5,0,0,0,0,1,0,0,0,1,0,1101
"Total","Marco Estrada","TOR",0.1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1118
"Total","Joe Nathan","SFG",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122
"Total","Jerome Williams","2 Tms",4.2,16,1.666666666,0.272727272,0.454545454,0.272727272,0,0,0,0,0.66666667,0.16666667,0.16666667,0.16666667,0.66666667,0.16666667,1137
"Total","Tommy Hunter","6 Tms",38.2,152,1.051282051,0.2,0.41,0.39,0.128205128,0.076923076,0.048780487,1,0.36633663,0.3960396,0.23762376,0.18811881,0.51485149,0.2970297,1157
"Total","Andrew Romine","2 Tms",0.2,4,2,0.333333333,0.666666666,0,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,1159
"Total","Matt Bush","2 Tms",33,135,0.878787878,0.225,0.3625,0.4125,0.03030303,0.151515151,0.068965517,0,0.34567901,0.30864198,0.34567901,0.16049383,0.5308642,0.30864198,1246
"Total","Adam Ottavino","4 Tms",70.2,285,1.370967741,0.140350877,0.497076023,0.362573099,0.129032258,0.080645161,0.082352941,0,0.40350877,0.28070175,0.31578947,0.22807018,0.53216374,0.23976608,1247
"Total","Pedro Beato","PHI",0.1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1330
"Total","Blake Wood","2 Tms",16,62,1.133333333,0.157894736,0.447368421,0.394736842,0.133333333,0.066666666,0,0,0.36842105,0.47368421,0.15789474,0.23684211,0.42105263,0.34210526,1345
"Total","Nick Hagadone","CLE",2.1,9,0,0.2,0,0.8,0.25,0.25,0,0,0.5,0.33333333,0.16666667,0.16666667,0.5,0.33333333,1351
"Total","Andrew Bailey","3 Tms",3.2,15,1.333333333,0.3,0.4,0.3,0,0,0,0,0.6,0.1,0.3,0,0.4,0.6,1368
"Total","Charlie Furbush","SEA",4,14,1,0.428571428,0.285714285,0.285714285,0,0,0,0,0.28571429,0.57142857,0.14285714,0,0.57142857,0.42857143,1370
"Total","Joaquin Benoit","5 Tms",40.2,161,0.604166666,0.23,0.29,0.48,0.208333333,0.145833333,0.034482758,0,0.43,0.28,0.29,0.19,0.52,0.29,1437
"Total","Felix Doubront","OAK",0.2,3,1,0.5,0.5,0,0,0,0,0,0,1,0,0,1,0,1478
"Total","Jon Edwards","3 Tms",4.2,25,0.375,0.214285714,0.214285714,0.571428571,0.125,0.5,0.333333333,0,0.57142857,0.28571429,0.14285714,0.14285714,0.42857143,0.42857143,1483
"Total","Oliver Perez","4 Tms",18.1,74,0.75,0.31707317,0.292682926,0.390243902,0,0.125,0,0,0.26829268,0.34146341,0.3902439,0.14634146,0.58536585,0.26829268,1514
"Total","David Ross","CHC",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1551
"Total","Sean Doolittle","4 Tms",18.2,60,0.461538461,0.136363636,0.272727272,0.59090909,0.23076923,0.038461538,0,0,0.35555556,0.35555556,0.28888889,0.26666667,0.44444444,0.28888889,1581
"Total","Francisco Rodriguez","2 Tms",2.2,11,0.142857142,0.111111111,0.111111111,0.777777777,0,0.285714285,0,0,0.44444444,0.22222222,0.33333333,0.11111111,0.44444444,0.44444444,1642
"Total","Javier Lopez","SFG",7.1,27,3,0.2,0.6,0.2,0,0.5,0,0,0.55,0.3,0.15,0.15,0.45,0.4,1663
"Total","Chris Capuano","2 Tms",3,14,3,0.5,0.375,0.125,0,0,0.333333333,0,0.625,0.25,0.125,0.125,0.375,0.5,1701
"Total","Jose Reyes","NYM",0.1,7,0,0.4,0,0.6,0,0.666666666,0,0,0.6,0.4,0,0,0.6,0.4,1736
"Total","Chin-hui Tsao","LAD",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1776
"Total","Kevin Gregg","CIN",1,5,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0.33333333,0,0.66666667,0,0.33333333,0.66666667,1793
"Total","Neal Cotts","2 Tms",3,13,1.25,0.1,0.5,0.4,0,0,0.2,0,0.63636364,0.18181818,0.18181818,0.09090909,0.54545455,0.36363636,1797
"Total","Matt Belisle","4 Tms",16.1,66,1.3125,0.212765957,0.44680851,0.340425531,0.1875,0,0.095238095,0,0.27659574,0.36170213,0.36170213,0.19148936,0.55319149,0.25531915,1837
"Total","Edwin Jackson","4 Tms",10.1,34,1.75,0.185185185,0.518518518,0.296296296,0.125,0,0.142857142,0,0.40740741,0.25925926,0.33333333,0.18518519,0.55555556,0.25925926,1841
"Total","Ryan Madson","4 Tms",30,116,1.695652173,0.150684931,0.534246575,0.315068493,0.086956521,0.173913043,0.051282051,0,0.34246575,0.28767123,0.36986301,0.24657534,0.53424658,0.21917808,1852
"Total","Sean Burnett","WSN",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886
"Total","Matt Moore","6 Tms",23.1,94,0.791666666,0.306451612,0.306451612,0.387096774,0.166666666,0.041666666,0.052631578,0,0.37096774,0.30645161,0.32258065,0.20967742,0.5,0.29032258,1890
"Total","David Aardsma","ATL",3.2,13,0,0.125,0,0.875,0,0.285714285,0,0,0.25,0.5,0.25,0,0.5,0.5,1902
"Total","Jason Frasor","2 Tms",1.2,8,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,1,1906
"Total","Matt Thornton","2 Tms",9,44,1.272727272,0.305555555,0.388888888,0.305555555,0.09090909,0.181818181,0,0,0.41666667,0.38888889,0.19444444,0.11111111,0.55555556,0.33333333,1918
"Total","Zack Greinke","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943
"Total","Cory Luebke","PIT",1.1,8,0,0.25,0,0.75,0,0.333333333,0,0,0.25,0.25,0.5,0,0.75,0.25,1984
"Total","Ivan Nova","NYY",0.2,4,0,0.333333333,0,0.666666666,0,0,0,0,0,0.33333333,0.66666667,0,0.33333333,0.66666667,1994
"Total","Buddy Carlyle","NYM",1.2,4,2,0,0.666666666,0.333333333,0,0,0,0,0.66666667,0.33333333,0,0,1,0,2010
"Total","Justin Masterson","BOS",1.1,5,1,0.5,0.25,0.25,0,0,0,0,0.5,0,0.5,0,0.75,0.25,2038
"Total","Jorge De La Rosa","3 Tms",13.2,55,2.888888888,0.222222222,0.577777777,0.2,0.111111111,0.111111111,0,0,0.37777778,0.33333333,0.28888889,0.17777778,0.51111111,0.31111111,2047
"Total","Jeremy Guthrie","KCR",1.1,10,0.2,0.142857142,0.142857142,0.714285714,0,0.6,0,0,0.57142857,0.28571429,0.14285714,0.14285714,0,0.85714286,2072
"Total","Chien-Ming Wang","KCR",4,16,8,0.272727272,0.727272727,0,0,0,0,0,0.36363636,0.45454545,0.18181818,0.18181818,0.72727273,0.09090909,2074
"Total","Josh Wilson","DET",0.2,2,2,0,1,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,2102
"Total","Adam Loewen","2 Tms",2.1,14,1,0.4,0.3,0.3,0,0,0.333333333,0,0.4,0.4,0.2,0.1,0.4,0.5,2134
"Total","Chris Narveson","MIA",3,10,0.5,0.333333333,0.222222222,0.444444444,0,0,0,0,0.33333333,0.55555556,0.11111111,0,0.44444444,0.55555556,2141
"Total","Chad Qualls","2 Tms",19.1,75,2.357142857,0.129629629,0.611111111,0.259259259,0.071428571,0,0.09090909,0,0.44444444,0.37037037,0.18518519,0.14814815,0.57407407,0.27777778,2170
"Total","Ronald Belisario","TBR",0.2,3,1,0,0.5,0.5,0,0,0,0,1,0,0,0.5,0.5,0,2203
"Total","Adam Wainwright","STL",0.2,3,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,2233
"Total","Blaine Boyer","4 Tms",19.1,82,1.409090909,0.220588235,0.455882352,0.323529411,0.136363636,0.136363636,0.032258064,1,0.33333333,0.37681159,0.28985507,0.28985507,0.46376812,0.24637681,2237
"Total","Brandon Gomes","TBR",4.1,18,0.571428571,0.153846153,0.307692307,0.538461538,0,0.142857142,0,0,0.30769231,0.46153846,0.23076923,0.07692308,0.46153846,0.46153846,2267
"Total","Joel Peralta","3 Tms",7,32,0.777777777,0.333333333,0.291666666,0.375,0.111111111,0.111111111,0.142857142,0,0.33333333,0.16666667,0.5,0.08333333,0.70833333,0.20833333,2332
"Total","Anthony Varvaro","BOS",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2385
"Total","Hector Rondon","3 Tms",29.2,119,1.481481481,0.211764705,0.470588235,0.317647058,0.037037037,0.185185185,0.125,0,0.38823529,0.32941176,0.28235294,0.18823529,0.55294118,0.25882353,2391
"Total","Cory Rasmus","LAA",3.1,13,0.333333333,0.2,0.2,0.6,0.333333333,0,0,0,0.4,0.3,0.3,0.3,0.3,0.4,2413
"Total","Corey Kluber","BOS",1,7,0.2,0,0.166666666,0.833333333,0,0.2,0,0,0.5,0.5,0,0.16666667,0.33333333,0.5,2429
"Total","Carlos Ruiz","SEA",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579
"Total","Wandy Rodriguez","TEX",0.1,4,0,1,0,0,0,0,0,0,0.66666667,0,0.33333333,0.66666667,0,0.33333333,2586
"Total","Jhoulys Chacin","2 Tms",9.2,40,1,0.333333333,0.333333333,0.333333333,0,0,0.125,1,0.24,0.36,0.4,0.16,0.48,0.36,2608
"Total","Scott Atchison","CLE",2,7,1,0.2,0.4,0.4,0,0,0,0,0.4,0.4,0.2,0,0.6,0.4,2642
"Total","Brian Matusz","BAL",6,25,1.6,0.235294117,0.470588235,0.294117647,0,0,0.25,0,0.47058824,0.52941176,0,0.29411765,0.35294118,0.35294118,2646
"Total","Brett Cecil","2 Tms",16.2,77,1.222222222,0.2,0.44,0.36,0.222222222,0.222222222,0.136363636,0,0.37254902,0.35294118,0.2745098,0.19607843,0.47058824,0.33333333,2660
