Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","3 Tms",0,2,0,0,0,9,0,0,0,1,2,1,-6.66666667,16.137915960947673,4.803516707817714,18
"Total","Xavier Cedeno","2 Tms",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.859696853606535,-2.859696853606535,36
"Total","Rafael Betancourt","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,177
"Total","Bartolo Colon","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,375
"Total","Fernando Rodney","4 Tms",1.1,4,13.50000003,0,2,0,0.5,0,0.5,0,0,0,1,0.15063883158619396,0.1506388315861944,494
"Total","Jeremy Affeldt","SFG",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,583
"Total","Rhiner Cruz","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,711
"Total","LaTroy Hawkins","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,729
"Total","Randy Choate","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,813
"Total","Scott Carroll","CHW",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,888
"Total","Aaron Thompson","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,999
"Total","Jerome Williams","STL",0,2,0,0,0,0,0,0,0,1,2,1,-0.5,3.1465603828430178,3.1465603828430178,1137
"Total","Tommy Hunter","4 Tms",1,5,9,0,1,0,0.2,0,0.2,0.4,2,0.5,-4.5,1.1565664291202915,1.1565664291202915,1157
"Total","Andrew Romine","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,1159
"Total","Matt Bush","TEX",0.1,3,0,27.00000027,0,0,0,0.33333333,-0.33333333,1,9.00000009,1,-0.33333333,12.146433123310555,12.146433123310556,1246
"Total","Adam Ottavino","4 Tms",4.1,16,6.23076922,2.07692307,3,0,0.1875,0.0625,0.125,0.133333333,0.69230769,0.16666667,-1,2.4753745213411498,3.7554095531939247,1247
"Total","Blake Wood","CIN",0,2,0,0,0,0,0,0,0,1,2,1,-1,3.146560382843018,3.146560382843018,1345
"Total","Joaquin Benoit","2 Tms",0.2,3,13.50000014,0,1,0,0.33333333,0,0.33333333,0.333333333,1.50000002,0.5,0,0.15210000852844274,2.8203094836673017,1437
"Total","Jon Edwards","CLE",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,1483
"Total","Oliver Perez","4 Tms",1.2,8,10.79999998,5.39999999,2,0,0.25,0.125,0.125,0,0.6,0,-0.5,4.354915130980249,5.240319553578775,1514
"Total","Sean Doolittle","3 Tms",1,5,9.00000009,0,1,0,0.2,0,0.2,0.4,2.00000002,0.5,0.5,1.1595530627190533,6.388795164169094,1581
"Total","Francisco Rodriguez","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,1642
"Total","Neal Cotts","MIL",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1797
"Total","Matt Belisle","MIN",0.2,4,13.49999993,0,1,13.49999993,0.25,0,0.25,0.5,2.99999999,0.5,-10,19.658337582106807,5.3039697495135805,1837
"Total","Ryan Madson","3 Tms",1,4,0,0,0,0,0,0,0,0.25,1,0.25,-3,3.151334873856857,6.482536367596939,1852
"Total","Matt Moore","2 Tms",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.148083340854281,7.589191597140326,1890
"Total","David Aardsma","ATL",0.1,2,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1902
"Total","Chien-Ming Wang","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,2074
"Total","Chris Narveson","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,2141
"Total","Chad Qualls","HOU",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.13359376500000053,0.13359376500000053,2170
"Total","Blaine Boyer","BOS",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,2237
"Total","Brandon Gomes","TBR",0,1,0,0,0,9,0,0,0,1,1,0,5,16.13359375,4.609267790615559,2267
"Total","Joel Peralta","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.1400770364215087,0.1400770364215087,2332
"Total","Hector Rondon","3 Tms",1.1,7,13.50000003,6.75000002,2,6.75000002,0.28571429,0.14285714,0.14285714,0.333333333,2.25000001,0.33333333,-1.875,12.177532068668045,4.772998904207467,2391
