Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","4 Tms",3.1,15,2.7,0,1,5.40000001,0.06666667,0,0.06666667,0.333333333,1.5,0.25,-1.81818182,10.352830512614377,5.0391606007441005,18
"Total","Xavier Cedeno","2 Tms",0.2,2,0,13.49999993,0,0,0,0.5,-0.5,0,1.49999999,0,1,7.652108837532515,7.652108837532515,36
"Total","Rafael Betancourt","COL",1,4,9,0,1,0,0.25,0,0.25,0.25,1,0.33333333,0,1.1335937500000002,2.609267790615559,177
"Total","Fernando Rodney","6 Tms",7,37,6.42857143,9,0.71428571,1.28571429,0.13513514,0.18918919,-0.05405405,0.32,2.14285714,0.31818182,0.06410256,7.439885406839355,6.946102141487106,494
"Total","Jason Grilli","3 Tms",3,10,15.00000005,0,5,0,0.5,0,0.5,0.1,0.33333333,0.2,1,-0.18617103417235903,0.8986557493059752,521
"Total","Jeremy Affeldt","SFG",0.2,5,13.49999993,0,1,0,0.2,0,0.2,0.8,5.99999997,1,0.25,0.13359376500000053,0.13359376500000053,583
"Total","Rhiner Cruz","TOR",0,1,0,0,0,0,0,0,0,1,1,1,0,3.1604315757751467,3.1604315757751467,711
"Total","LaTroy Hawkins","TOR",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,739
"Total","Randy Choate","STL",0,2,0,0,0,0,0,0,0,0,0,0,0.5,9.13359375,9.13359375,813
"Total","Joe Beimel","SEA",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,4.240349283228558,979
"Total","Aaron Thompson","MIN",0.2,4,13.49999993,0,1,0,0.25,0,0.25,0.5,2.99999999,0.66666667,0,0.13359376500000053,0.13359376500000053,999
"Total","Ryan Vogelsong","PIT",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.8534396771569823,-2.8534396771569823,1011
"Total","Rafael Soriano","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1100
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1118
"Total","Tommy Hunter","3 Tms",2.1,7,3.85714285,0,1,0,0.14285714,0,0.14285714,0.2,0.42857143,0.16666667,0,2.294424250177667,3.056769804701469,1157
