Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","3 Tms",3,3,0,1,0,0,1,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2936079502105713,18
"Total","Xavier Cedeno","TBR",2,2,26.99999987,1,0,0,2,2,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,36
"Total","Rafael Betancourt","COL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
"Total","Fernando Rodney","4 Tms",9,9,20.24999997,1,0,0,7,6,0,1,0,0,0,0.142857142,0.222222222,0.142857142,0.17418520980411106,494
"Total","Jason Grilli","3 Tms",5,3,45.00000045,0,0,0,5,5,0,0,0,0,1,0,0,0,0,521
"Total","Kyle Lohse","MIL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,739
"Total","Aaron Thompson","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
"Total","Joe Nathan","SFG",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.242019534111023,1122
"Total","Jerome Williams","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137
"Total","Andrew Romine","DET",1,2,0,1,0,0,0,0,0,0,0,0,0,1,0.5,1,0.4383344054222107,1159
"Total","Matt Bush","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"Total","Adam Ottavino","2 Tms",2,3,27.00000027,2,0,0,1,1,0,0,0,0,0,0.666666666,0.666666666,0.666666666,0.5840478539466858,1247
"Total","Blake Wood","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345
"Total","Nick Hagadone","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351
"Total","Oliver Perez","3 Tms",6,6,6.75000007,1,0,0,1,1,0,0,0,0,3,0.166666666,0.166666666,0.166666666,0.14640902479489645,1514
"Total","Sean Doolittle","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1581
"Total","Francisco Rodriguez","DET",2,2,13.49999993,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1642
"Total","Matt Belisle","MIN",1,2,27,2,1,0,3,3,0,0,0,0,0,1,1,1.5,1.0544185638427734,1837
"Total","Edwin Jackson","CHC",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1841
"Total","Ryan Madson","OAK",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852
"Total","Matt Moore","TEX",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1890
"Total","Buddy Carlyle","NYM",1,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2010
"Total","Jorge De La Rosa","ARI",2,2,54.00000054,1,0,0,2,2,0,0,0,0,0,1,0.5,1,0.4397653639316559,2047
"Total","Chien-Ming Wang","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074
"Total","Adam Loewen","ARI",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2134
"Total","Chad Qualls","COL",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2170
"Total","Ronald Belisario","TBR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2203
"Total","Hector Rondon","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2391
"Total","Ross Detwiler","CIN",2,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44192540645599365,2859
"Total","Santiago Casilla","2 Tms",7,6,22.5,1,0,1,6,5,0,0,0,0,0,0.2,0.166666666,0.6,0.2656954328219096,2873
"Total","Luis Avilan","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882
"Total","Kenley Jansen","3 Tms",16,16,24.54545452,4,1,0,12,10,0,1,0,0,6,0.266666666,0.3125,0.333333333,0.2852345183491707,3096
"Total","Tony Watson","PIT",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3132
"Total","Will Harris","HOU",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192
"Total","Chris Young","KCR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3196
"Total","Jean Machi","BOS",1,2,27.00000027,0,0,0,1,1,0,1,0,0,1,0,0.5,0,0.3434215188026428,3220
"Total","T.J. McFarland","OAK",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3237
"Total","Zack Britton","BAL",5,5,3.37499998,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3240
"Total","Jordan Walden","STL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3271
"Total","Chris Hatcher","LAD",2,1,27.00000027,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3299
"Total","Darren O'Day","2 Tms",2,2,54.00000054,1,1,0,2,2,0,0,0,0,1,0.5,0.5,1,0.6307384967803955,3321
"Total","Cesar Ramos","LAA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3357
"Total","Liam Hendriks","2 Tms",5,6,16.19999997,1,0,0,3,3,0,1,0,0,1,0.333333333,0.333333333,0.333333333,0.26169511675834656,3548
"Total","Tony Barnette","TEX",2,2,9,2,1,0,1,1,0,0,0,0,0,1,1,1.5,1.055311232805252,3555
"Total","Jim Johnson","2 Tms",3,3,53.99999973,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3656
