Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","3 Tms",4,5,9,2,0,0,1,1,0,0,0,0,2,0.4,0.4,0.4,0.35185559988021853,18
"Total","Rafael Betancourt","COL",1,1,36,1,0,0,4,4,1,0,0,0,0,1,1,4,2.0652942657470703,177
"Total","Fernando Rodney","4 Tms",10,11,16.87500004,2,0,0,5,5,0,1,0,0,5,0.2,0.272727272,0.2,0.2222411415793679,494
"Total","Jason Grilli","2 Tms",2,1,9,0,0,0,3,1,0,0,0,0,0,0,0,0,0,521
"Total","Kyle Lohse","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739
"Total","Jerome Williams","STL",1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,2,1.242019534111023,1137
"Total","Andrew Romine","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159
"Total","Matt Bush","2 Tms",4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1246
"Total","Adam Ottavino","3 Tms",5,5,27.00000007,1,0,0,4,4,1,0,0,0,4,0.2,0.2,0.8,0.4029517650604248,1247
"Total","Blake Wood","CIN",1,2,0,2,1,0,3,0,0,0,0,0,0,1,1,1.5,1.0602368414402008,1345
"Total","Oliver Perez","3 Tms",6,4,27.00000027,2,0,0,4,2,0,0,0,0,0,0.5,0.5,0.5,0.43981949985027313,1514
"Total","Sean Doolittle","2 Tms",5,6,6.75000002,1,0,1,1,1,0,0,0,1,2,0.2,0.333333333,0.6,0.3747052252292633,1581
"Total","Francisco Rodriguez","2 Tms",7,6,5.40000002,1,0,0,2,1,1,0,0,0,1,0.166666666,0.166666666,0.666666666,0.32998092969258624,1642
"Total","Javier Lopez","SFG",2,2,27.00000027,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.43922707438468933,1663
"Total","Ryan Madson","2 Tms",4,4,36,1,0,0,4,4,1,0,0,0,0,0.25,0.25,1,0.5077071189880371,1852
"Total","Matt Moore","TEX",1,1,27,1,0,1,3,3,0,0,0,0,0,1,1,3,1.601340651512146,1890
"Total","Jason Frasor","KCR",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906
"Total","Cory Luebke","PIT",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1984
"Total","Jorge De La Rosa","ARI",2,2,27.00000027,0,0,0,1,1,0,1,0,0,1,0,0.5,0,0.3464970290660858,2047
"Total","Chien-Ming Wang","KCR",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8784541487693787,2074
