Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","6 Tms",24,31,12.00000002,6,0,0,8,8,2,7,4,0,5,0.25,0.419354838,0.5,0.3569607999589708,18
"Total","Xavier Cedeno","2 Tms",7,6,13.50000003,1,0,0,2,2,0,1,0,0,3,0.2,0.333333333,0.2,0.26151005427042645,36
"Total","Rafael Betancourt","COL",2,3,162.00000162,2,0,0,6,6,1,0,0,0,0,0.666666666,0.666666666,1.666666666,0.9820393721262614,177
"Total","Bartolo Colon","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
"Total","Fernando Rodney","7 Tms",75,107,10.95652173,23,6,1,28,28,0,14,4,2,24,0.252747252,0.364485981,0.34065934,0.30472900161465394,494
"Total","Jason Grilli","3 Tms",23,31,5.4,5,1,0,7,4,0,4,0,0,10,0.185185185,0.29032258,0.222222222,0.2420721015622539,521
"Total","Jeremy Affeldt","SFG",4,3,13.49999993,1,0,0,1,1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2936079502105713,583
"Total","Rhiner Cruz","TOR",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6895295977592468,711
"Total","LaTroy Hawkins","2 Tms",9,11,10.12499999,3,0,0,3,3,0,0,0,0,2,0.272727272,0.272727272,0.272727272,0.24022468653592197,729
"Total","Kyle Lohse","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739
"Total","Randy Choate","STL",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,813
"Total","Scott Carroll","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888
"Total","Joe Beimel","SEA",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,979
"Total","Aaron Thompson","MIN",2,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,999
"Total","Ryan Vogelsong","SFG",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1011
"Total","Marco Estrada","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1118
"Total","Joe Nathan","DET",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1122
"Total","Jerome Williams","STL",1,2,0,1,1,0,1,0,0,0,0,0,0,0.5,0.5,1,0.6210097670555115,1137
"Total","Tommy Hunter","5 Tms",15,13,2.70000001,2,0,0,3,1,0,1,0,0,2,0.166666666,0.23076923,0.166666666,0.18813301049746,1157
"Total","Andrew Romine","DET",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.3613094985485077,1159
"Total","Albert Pujols","STL",1,1,27,1,0,0,3,3,1,0,0,0,0,1,1,4,2.0720014572143555,1177
"Total","Matt Bush","2 Tms",17,25,6.75,4,0,0,6,4,2,4,0,0,6,0.19047619,0.32,0.476190476,0.3417667484283447,1246
"Total","Adam Ottavino","4 Tms",47,64,7.2,11,2,0,13,12,2,6,2,1,23,0.192982456,0.28125,0.333333333,0.2604883265110754,1247
"Total","Blake Wood","2 Tms",7,11,9.00000005,3,2,0,5,2,0,1,0,0,3,0.3,0.363636363,0.5,0.367568547075445,1345
"Total","Nick Hagadone","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351
"Total","Andrew Bailey","2 Tms",4,5,18,1,0,0,2,2,0,0,0,1,0,0.25,0.4,0.25,0.31987265348434446,1368
"Total","Joaquin Benoit","5 Tms",5,6,20.2500002,1,0,0,3,3,1,1,0,0,3,0.2,0.333333333,0.8,0.4450829327106476,1437
"Total","Jon Edwards","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483
"Total","Oliver Perez","4 Tms",20,27,8.43750002,9,2,0,7,5,0,1,0,1,8,0.36,0.407407407,0.44,0.3724018092508669,1514
"Total","Sean Doolittle","4 Tms",57,70,7.16326531,16,2,1,13,13,1,4,1,1,18,0.246153846,0.3,0.353846153,0.2802347169406172,1581
"Total","Francisco Rodriguez","2 Tms",52,64,8.80434782,11,3,0,17,15,2,8,1,0,16,0.196428571,0.296875,0.357142857,0.2829726849283491,1642
"Total","Javier Lopez","SFG",8,9,3.85714286,1,0,0,1,1,0,1,0,0,1,0.125,0.222222222,0.125,0.17434068520863852,1663
"Total","Kevin Gregg","CIN",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8808238506317139,1793
"Total","Neal Cotts","MIL",6,8,13.50000003,1,1,0,2,2,0,3,1,0,0,0.2,0.5,0.4,0.37570808615003315,1797
"Total","Matt Belisle","4 Tms",12,16,6.74999998,3,0,0,4,3,0,1,1,0,3,0.2,0.25,0.2,0.17564357916514078,1837
"Total","Edwin Jackson","3 Tms",6,8,21.60000009,3,1,0,4,4,0,0,0,0,2,0.375,0.375,0.5,0.37694356590509415,1841
"Total","Jonny Gomes","ATL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1845
"Total","Ryan Madson","4 Tms",29,37,17.60869567,11,3,0,16,15,2,2,0,2,5,0.333333333,0.405405405,0.606060606,0.4290400211875503,1852
"Total","Matt Moore","3 Tms",4,6,54.00000054,2,0,1,5,4,0,1,1,0,1,0.4,0.5,0.8,0.49607919454574584,1890
"Total","David Aardsma","ATL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1902
"Total","Jason Frasor","KCR",6,9,0,0,0,0,0,0,0,3,1,0,1,0,0.333333333,0,0.1717107594013214,1906
"Total","Matt Thornton","WSN",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918
"Total","Cory Luebke","PIT",2,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.34530600905418396,1984
"Total","Ivan Nova","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Total","Justin Masterson","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038
"Total","Jorge De La Rosa","2 Tms",9,12,4.49999998,1,1,0,3,1,0,4,1,0,2,0.125,0.416666666,0.25,0.30175710266286676,2047
"Total","Chien-Ming Wang","KCR",5,11,40.5000001,6,1,0,6,6,0,1,0,0,1,0.6,0.636363636,0.7,0.5749911178242076,2074
"Total","Adam Loewen","ARI",2,3,108.00000108,1,0,0,4,4,0,1,0,0,0,0.5,0.666666666,0.5,0.5230220556259155,2134
"Total","David Peralta","ARI",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.3609662353992462,2136
"Total","Chris Narveson","MIA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2141
"Total","Chad Qualls","2 Tms",7,11,13.49999993,4,2,0,3,3,0,1,1,0,1,0.4,0.454545454,0.6,0.42477168440818786,2170
"Total","Ronald Belisario","TBR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2203
"Total","Ryan Raburn","CLE",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2218
"Total","Blaine Boyer","3 Tms",8,11,22.5,5,1,0,5,5,0,0,0,0,0,0.454545454,0.454545454,0.545454545,0.4330222389914773,2237
