Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Ryan Vogelsong","2 Tms",2,3,27.00000027,1,0,0,2,2,0,0,0,0,0,0.5,0.333333333,0.5,0.2936079502105713,1011
"Total","Adam Ottavino","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247
"Total","Andrew Bailey","PHI",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1368
"Total","Javier Lopez","SFG",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8784541487693787,1663
"Total","Neal Cotts","MIL",1,1,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1797
"Total","Ryan Madson","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852
"Total","Matt Moore","TEX",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890
"Total","Chien-Ming Wang","KCR",1,2,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2074
"Total","Blaine Boyer","2 Tms",3,2,27.00000027,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2237
"Total","Ross Detwiler","CLE",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2859
"Total","Luis Avilan","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882
"Total","Tony Watson","LAA",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8790553212165833,3132
"Total","Will Harris","HOU",5,10,20.25000005,7,0,0,4,3,1,0,0,0,0,0.7,0.7,1,0.7229930400848389,3192
"Total","T.J. McFarland","2 Tms",3,3,18,1,1,0,3,2,0,0,0,0,0,0.333333333,0.333333333,0.666666666,0.4107227722803752,3237
"Total","Joe Smith","3 Tms",3,3,13.50000014,1,0,0,1,1,1,0,0,0,1,0.5,0.333333333,2,0.6688395341237386,3281
"Total","Danny Duffy","KCR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3542
"Total","Clay Buchholz","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543
"Total","Liam Hendriks","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3548
"Total","Tony Barnette","TEX",4,6,162.00000162,4,0,0,6,6,1,1,0,0,0,1,0.833333333,1.75,0.8838143448034922,3555
"Total","Brett Oberholtzer","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855
"Total","Enrique Burgos","ARI",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3895
"Total","Matt Magill","MIN",2,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.22984319925308228,3950
"Total","Yusmeiro Petit","WSN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4020
"Total","Hector Santiago","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4026
"Total","Matt Albers","CHW",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8784541487693787,4300
"Total","Justin Wilson","NYY",1,2,27,1,1,0,3,3,0,1,0,0,0,1,1,2,0.9666815400123596,4301
"Total","Craig Breslow","BOS",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,4363
"Total","Joe Thatcher","HOU",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4620
"Total","Brandon McCarthy","LAD",1,1,18,1,1,0,2,2,0,0,0,0,0,1,1,2,1.242019534111023,4662
"Total","Nate Jones","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4696
"Total","Rich Hill","SDP",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,0,0.24200167258580527,4806
"Total","Peter Moylan","2 Tms",2,5,27.00000027,2,1,0,1,1,0,1,0,0,1,0.5,0.6,0.75,0.5609386205673218,4891
"Total","Justin De Fratus","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4955
"Total","Fernando Salas","NYM",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4971
"Total","Jake Diekman","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5003
"Total","Dale Thayer","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032
"Total","Josh Fields","HOU",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.2562705278396606,5070
"Total","Jeurys Familia","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5114
"Total","Wilmer Font","TOR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5257
"Total","Jose Alvarez","2 Tms",5,5,5.39999999,1,0,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.17569082975387573,5358
"Total","Pedro Baez","LAD",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5420
"Total","Jesse Chavez","2 Tms",2,2,13.49999993,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.43480363488197327,5448
"Total","Arnold Leon","OAK",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5595
"Total","Junior Guerra","3 Tms",4,5,21.59999996,1,0,0,4,4,1,1,0,0,0,0.333333333,0.4,1.333333333,0.5410659790039063,5702
"Total","Randall Delgado","ARI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5985
"Total","Huascar Brazoban","MIA",2,2,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.3479514420032501,6107
"Total","Dellin Betances","NYM",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8825258016586304,6216
"Total","Tom Gorzelanny","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6244
"Total","David Phelps","CHC",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6316
"Total","Esmil Rogers","NYY",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6317
"Total","Jose Cisnero","DET",2,1,54.00000054,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6399
"Total","Vance Worley","MIA",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6435
"Total","Steve Cishek","4 Tms",5,5,0,2,0,0,0,0,0,0,0,0,1,0.666666666,0.4,0.666666666,0.3500862240791321,6483
"Total","Marc Rzepczynski","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612
"Total","Brad Brach","2 Tms",2,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.2416465282440186,6627
"Total","Alex Colome","TBR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6661
"Total","Julio Teheran","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797
"Total","Sam Freeman","2 Tms",2,1,27.00000027,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6832
"Total","Martin Perez","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902
"Total","Luke Hochevar","KCR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6943
"Total","Ryan Pressly","MIN",2,3,0,0,0,0,0,0,0,1,0,0,2,0,0.333333333,0,0.22984319925308228,7005
"Total","Alex Torres","NYM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7038
