Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.1400770364215087,2.6384781817105813,18
"Total","Randy Choate","STL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,813
"Total","Scott Carroll","CHW",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,7.560615849711565,888
"Total","Aaron Thompson","MIN",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,999
"Total","Ryan Vogelsong","PIT",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,0,-2.8534396771569823,-2.8534396771569823,1011
"Total","Tommy Hunter","NYM",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.2550403594970705,3.2550403594970705,1157
"Total","Adam Ottavino","2 Tms",0.1,7,0,27.00000027,0,27.00000027,0,0.14285714,-0.14285714,0.666666666,15.00000015,0.6,-0.55555556,51.16079482659713,23.91325732863691,1247
"Total","Blake Wood","2 Tms",0.2,3,0,13.50000014,0,0,0,0.33333333,-0.33333333,0,1.50000002,0,0,7.6576397392138675,10.325849214352727,1345
"Total","Oliver Perez","WSN",1,2,9,0,1,0,0.5,0,0.5,0,0,0,1,1.1465603828430178,1.1465603828430178,1514
"Total","Neal Cotts","MIL",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,3.13359375,1797
"Total","Matt Belisle","MIN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,1837
"Total","Edwin Jackson","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1841
"Total","David Aardsma","ATL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1902
"Total","Jorge De La Rosa","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,2047
"Total","Chien-Ming Wang","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,2074
"Total","Chad Qualls","COL",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8451301936080724,-2.8451301936080724,2170
"Total","Blaine Boyer","3 Tms",1,3,0,0,0,0,0,0,0,0.5,1,0.33333333,-4,3.152565352117336,4.804180450236117,2237
"Total","Brandon Gomes","TBR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,2267
"Total","Jhoulys Chacin","COL",0,1,0,0,0,0,0,0,0,1,1,1,1,3.112431001663208,3.112431001663208,2608
"Total","Brian Matusz","BAL",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,3.13359375,2646
"Total","Brett Cecil","STL",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,0,3.1576396942138674,8.494058644491584,2660
"Total","Santiago Casilla","OAK",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,2873
"Total","Luis Avilan","2 Tms",0.2,2,0,13.49999993,0,0,0,0.5,-0.5,0,1.49999999,0,0,7.665760017879702,7.665760017879702,2882
"Total","Zach McAllister","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.15228974208254176,2.6506908873716144,2895
"Total","Tony Watson","LAD",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,3132
"Total","David Price","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,8.46312055516437,3184
"Total","Will Harris","2 Tms",1.1,5,6.75000002,0,1,0,0.2,0,0.2,0.5,1.5,0.5,0.5,1.653799577748509,4.141711467709906,3192
"Total","Chris Young","KCR",0,2,0,0,0,0,0,0,0,1,2,1,0,3.1576396942138674,4.9364459931850435,3196
"Total","T.J. McFarland","3 Tms",1.2,4,0,0,0,0,0,0,0,0,0,0,1,3.1532243251400702,4.152584777259537,3237
"Total","Zack Britton","NYY",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,0,12.132178169933837,17.917023356437724,3240
"Total","Joe Smith","TOR",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.842360365786133,2.494058584491585,3281
"Total","Anibal Sanchez","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,3284
"Total","Chris Hatcher","LAD",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,3299
"Total","Darren O'Day","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.112431001663208,3.112431001663208,3321
"Total","Cesar Ramos","LAA",0.1,2,0,0,0,0,0,0,0,1,3.00000003,0.5,1,3.13359375,7.560615916116898,3357
"Total","Jumbo Diaz","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,3397
"Total","Danny Duffy","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,3542
"Total","Clay Buchholz","BOS",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,3543
"Total","Liam Hendriks","2 Tms",1.1,3,6.75000002,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.660180993996356,2.766936527224914,3548
"Total","Tony Barnette","TEX",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1539465904605155,4.711559188402868,3555
"Total","Zach Duke","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,3840
"Total","Yusmeiro Petit","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.16383687834045357,2.8103800946891178,4020
"Total","Hector Santiago","CHW",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,4026
"Total","Brian Duensing","2 Tms",1.1,3,0,0,0,0,0,0,0,0,0,0,1,3.1523261785905716,5.4977930385049945,4064
"Total","Pedro Strop","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,4070
"Total","Junichi Tazawa","MIA",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,4079
"Total","Erik Cordier","MIA",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,4086
"Total","Luke Gregerson","STL",1.1,2,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,4090
"Total","Derek Holland","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.170034122467041,3.170034122467041,4141
"Total","Edward Paredes","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,8.115276919679946,4168
"Total","David Hernandez","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,4259
"Total","Manny Parra","CIN",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.13359384,12.133593840000003,4279
"Total","Matt Albers","2 Tms",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1753215908818087,3.1753215908818087,4300
"Total","Justin Wilson","NYY",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,4301
"Total","Jonathon Niese","NYM",0,1,0,0,0,0,0,0,0,1,1,1,-3,3.1465603828430178,4.812161129713059,4424
"Total","Jeff Francis","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,4684
