Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18
"Total","Randy Choate","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813
"Total","Scott Carroll","CHW",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888
"Total","Aaron Thompson","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
"Total","Ryan Vogelsong","PIT",1,2,27.00000027,1,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.43922707438468933,1011
"Total","Tommy Hunter","NYM",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.4412681460380554,1157
"Total","Adam Ottavino","2 Tms",4,7,162.00000162,4,1,0,7,6,1,1,0,0,0,0.666666666,0.714285714,1.333333333,0.8134844132832119,1247
"Total","Blake Wood","2 Tms",3,3,13.50000014,0,0,0,1,1,0,1,0,0,0,0,0.333333333,0,0.23099801937739053,1345
"Total","Oliver Perez","WSN",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1514
"Total","Neal Cotts","MIL",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,1797
"Total","Matt Belisle","MIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1837
"Total","Edwin Jackson","CHC",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1841
"Total","David Aardsma","ATL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1902
"Total","Jorge De La Rosa","CHC",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2047
"Total","Chien-Ming Wang","KCR",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2074
"Total","Chad Qualls","COL",2,1,54.00000054,0,0,0,2,2,0,0,0,0,1,0,0,0,0,2170
"Total","Blaine Boyer","3 Tms",4,3,45,1,1,0,5,5,0,0,0,0,0,0.5,0.333333333,1,0.414006511370341,2237
"Total","Brandon Gomes","TBR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2267
"Total","Jhoulys Chacin","COL",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.261476993560791,2608
"Total","Brian Matusz","BAL",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,2646
"Total","Brett Cecil","STL",3,2,27.00000027,1,1,0,1,1,0,0,0,0,0,0.5,0.5,1,0.6160841584205627,2660
"Total","Santiago Casilla","OAK",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2873
"Total","Luis Avilan","2 Tms",2,2,13.49999993,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.3451472520828247,2882
"Total","Zach McAllister","2 Tms",3,2,27.00000027,0,0,0,2,2,0,0,0,0,1,0,0,0,0,2895
"Total","Tony Watson","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132
"Total","David Price","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184
"Total","Will Harris","2 Tms",5,5,6.75000002,2,1,0,1,1,0,0,0,0,1,0.5,0.4,0.75,0.4247887372970581,3192
"Total","Chris Young","KCR",1,2,18,2,1,0,2,2,0,0,0,0,0,1,1,1.5,1.0544185638427734,3196
"Total","T.J. McFarland","3 Tms",4,4,10.80000004,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3237
"Total","Zack Britton","NYY",2,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.3443719744682312,3240
"Total","Joe Smith","TOR",1,2,0,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.4383344054222107,3281
"Total","Anibal Sanchez","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284
"Total","Chris Hatcher","LAD",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3299
"Total","Darren O'Day","ATL",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3321
"Total","Cesar Ramos","LAA",2,2,0,1,0,0,0,0,0,0,0,0,0,1,0.5,1,0.44041192531585693,3357
"Total","Jumbo Diaz","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397
"Total","Danny Duffy","KCR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3542
"Total","Clay Buchholz","BOS",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3543
"Total","Liam Hendriks","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3548
"Total","Tony Barnette","TEX",3,3,9,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3555
"Total","Zach Duke","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840
"Total","Yusmeiro Petit","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4020
"Total","Hector Santiago","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4026
"Total","Brian Duensing","2 Tms",5,3,33.75000008,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4064
"Total","Pedro Strop","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070
"Total","Junichi Tazawa","MIA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4079
"Total","Erik Cordier","MIA",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4086
"Total","Luke Gregerson","STL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4090
"Total","Derek Holland","DET",1,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4141
"Total","Edward Paredes","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4168
"Total","David Hernandez","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259
"Total","Manny Parra","CIN",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,4279
"Total","Matt Albers","2 Tms",3,1,26.99999987,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4300
"Total","Justin Wilson","NYY",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4301
"Total","Jonathon Niese","NYM",1,1,36,1,0,1,4,4,0,0,0,0,0,1,1,3,1.5692284107208252,4424
"Total","Jeff Francis","TOR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4684
"Total","Nate Jones","2 Tms",2,2,54.00000054,1,0,0,2,2,0,0,0,0,1,0.5,0.5,0.5,0.4412629008293152,4696
"Total","Mike Montgomery","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4869
"Total","Peter Moylan","2 Tms",4,4,13.50000014,1,0,0,3,1,0,1,0,0,0,0.5,0.5,0.5,0.3925356864929199,4891
"Total","Justin De Fratus","PHI",2,2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4955
"Total","Fernando Salas","3 Tms",5,4,13.50000003,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4971
"Total","Fernando Abad","2 Tms",2,1,81.00000081,0,0,0,3,3,0,0,0,0,1,0,0,0,0,4994
"Total","Jake Diekman","3 Tms",3,2,13.50000014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5003
