Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","KCR",0,1,0,0,0,9,0,0,0,1,1,0,5,16.157639694213866,4.9364459931850435,18
"Total","Xavier Cedeno","TBR",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,4.609267790615559,36
"Total","Fernando Rodney","CHC",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,494
"Total","Joe Beimel","SEA",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,979
"Total","Tommy Hunter","PHI",0,1,0,0,0,0,0,0,0,1,1,1,0,3.191419315338135,3.191419315338135,1157
"Total","Matt Bush","TEX",0.2,6,27.00000027,0,2,0,0.33333333,0,0.33333333,0.5,4.50000005,0.75,0.33333333,-2.8479000214715575,-0.17969054633269899,1246
"Total","Adam Ottavino","NYY",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.785990584291992,-2.785990584291992,1247
"Total","Blake Wood","CIN",0.2,4,13.50000014,13.50000014,1,0,0.25,0.25,0,0.666666666,4.50000005,1,0.33333333,4.652100053528443,4.652100053528443,1345
"Total","Nick Hagadone","CLE",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1351
"Total","Andrew Bailey","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1368
"Total","Jon Edwards","SDP",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.13359378,6.13359378,1483
"Total","Oliver Perez","2 Tms",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.186522555557409,7.409042712632655,1514
"Total","Ryan Madson","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1852
"Total","Jhoulys Chacin","COL",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.14123253206512398,2.787775748413788,2608
"Total","Scott Atchison","CLE",0,1,0,0,0,0,0,0,0,1,1,1,1,3.13359375,3.13359375,2642
"Total","Fabio Castillo","LAD",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.1576396942138674,3.1576396942138674,2826
"Total","Ross Detwiler","MIA",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,3.1700341224670407,2859
"Total","Santiago Casilla","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,8.115276919679946,2873
"Total","Luis Avilan","2 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.149696445432883,3.149696445432883,2882
"Total","Zach McAllister","CLE",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,2895
"Total","Josh Ravin","LAD",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,2951
"Total","Tony Watson","2 Tms",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1595009485973597,4.589922345687318,3132
"Total","Will Harris","HOU",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,3192
"Total","Chris Young","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,3196
"Total","T.J. McFarland","ARI",0,1,0,0,0,0,0,0,0,1,1,1,-2,3.1952195485432946,3.1952195485432946,3237
"Total","Joe Smith","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.1294956622531127,0.1294956622531127,3281
"Total","Chris Hatcher","LAD",0.1,4,27.00000027,27.00000027,1,0,0.25,0.25,0,0.666666666,9.00000009,1,0.66666667,6.139605266008381,6.139605266008381,3299
"Total","Darren O'Day","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.193905544431785,7.620927710548683,3321
"Total","Cesar Ramos","LAA",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,0,6.13359378,6.13359378,3357
"Total","Jumbo Diaz","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,3397
"Total","Andre Rienzo","MIA",0,2,0,9,0,0,0,0.5,-0.5,1,2,1,-1,6.13359375,7.609267790615559,3507
"Total","Liam Hendriks","OAK",0.2,2,0,0,0,0,0,0,0,0.5,1.49999999,0.5,1,3.1465603828430178,3.1465603828430178,3548
"Total","Matt Magill","2 Tms",1,5,9,9,1,0,0.2,0.2,0,0.5,3,0.66666667,0,4.181090068920431,4.181090068920431,3950
