Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","3 Tms",6,8,21.59999996,2,0,0,4,4,1,1,0,0,2,0.333333333,0.428571428,0.833333333,0.5070783495903015,18
"Total","Xavier Cedeno","2 Tms",6,7,0,1,0,0,0,0,0,1,0,0,1,0.166666666,0.285714285,0.166666666,0.22433620691299438,36
"Total","Zach Phillips","PIT",1,2,13.49999993,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.43922707438468933,99
"Total","Rafael Betancourt","COL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,177
"Total","Bartolo Colon","TEX",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,375
"Total","Fernando Rodney","4 Tms",8,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,494
"Total","Jason Grilli","TOR",1,2,27,1,0,0,3,3,1,1,0,0,0,1,1,4,1.3364398181438446,521
"Total","LaTroy Hawkins","COL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729
"Total","Randy Choate","STL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,813
"Total","Scott Carroll","CHW",3,5,40.4999998,2,0,1,4,3,1,0,0,0,0,0.4,0.4,1.4,0.7318933725357055,888
"Total","Joe Beimel","SEA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,979
"Total","Aaron Thompson","MIN",3,4,9,1,1,0,1,1,0,0,0,0,0,0.333333333,0.333333333,0.666666666,0.4187568426132202,999
"Total","Ryan Vogelsong","2 Tms",3,5,6.74999997,1,0,0,1,1,0,0,0,1,0,0.333333333,0.4,0.333333333,0.3203465938568115,1011
"Total","Tommy Hunter","5 Tms",12,17,14.72727275,6,3,0,6,6,0,0,0,1,1,0.375,0.411764705,0.5625,0.4179176688194275,1157
"Total","Matt Bush","2 Tms",8,14,3.37500001,3,0,0,2,1,0,2,0,0,5,0.272727272,0.384615384,0.272727272,0.30859572612322295,1246
"Total","Adam Ottavino","4 Tms",11,15,0,1,1,0,0,0,0,2,0,0,4,0.09090909,0.2,0.181818181,0.17613773345947265,1247
"Total","Curtis Partch","PIT",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8784541487693787,1333
