Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","6 Tms",6.1,22,2.84210526,1.42105263,2,4.2631579,0.09090909,0.04545455,0.04545455,0.3,1.10526316,0.1875,-0.71428571,9.146815393488385,5.205884842554941,18
"Total","Xavier Cedeno","4 Tms",6.2,32,5.4,4.05,1.33333333,1.35,0.125,0.09375,0.03125,0.321428571,1.8,0.34782609,0.34482759,5.694740895365408,4.934865596708843,36
"Total","Zach Phillips","PIT",0.2,4,0,13.49999993,0,0,0,0.25,-0.25,0.333333333,2.99999999,0.33333333,1,7.646560360343018,10.144961468156072,99
"Total","Rafael Betancourt","COL",1.2,9,10.79999998,10.79999998,1,0,0.22222222,0.22222222,0,0.285714285,2.4,0.4,0.5,4.3335937476,6.104402592797053,177
"Total","Bartolo Colon","TEX",1,2,9,0,1,0,0.5,0,0.5,0,0,0,1,1.1604315757751467,1.1604315757751467,375
"Total","Fernando Rodney","5 Tms",6.2,24,6.75,2.7,2.5,0,0.20833333,0.08333333,0.125,0.227272727,1.05,0.29411765,0.42857143,2.570393705622853,3.4148977345043905,494
"Total","Jason Grilli","2 Tms",1,4,0,0,0,0,0,0,0,0.5,2.00000002,0.5,0.5,3.1539465904235846,6.598353670708873,521
"Total","Jeremy Affeldt","SFG",2,5,4.5,0,1,0,0.2,0,0.2,0,0,0,1,2.13359375,2.8714307703077795,583
"Total","Grant Balfour","TBR",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.13359384,16.5606160061169,718
"Total","LaTroy Hawkins","2 Tms",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,4.240349274927892,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,739
"Total","Randy Choate","STL",2,6,0,4.5,0,0,0,0.16666667,-0.16666667,0.2,1,0.2,0,4.63359375,6.109267790615559,813
"Total","Scott Carroll","CHW",1,3,9,9,1,0,0.33333333,0.33333333,0,0,1,0,0,4.13359375,5.609267790615559,888
"Total","Joe Beimel","SEA",3,14,3,9,0.33333333,3,0.07142857,0.21428571,-0.14285714,0.4,2.33333333,0.33333333,0.71428571,9.800260416666667,6.942601123948893,979
"Total","Aaron Thompson","MIN",1.2,6,0,0,0,0,0,0,0,0.166666666,0.6,0.16666667,0,3.13359375,5.78980701779558,999
"Total","Ryan Vogelsong","2 Tms",1.1,6,0,0,0,0,0,0,0,0.4,1.5,0.4,0.33333333,5.386835413811442,5.386835413811442,1011
"Total","Jake Peavy","SFG",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.146560472843019,17.143362763421166,1051
"Total","Rafael Soriano","CHC",0.1,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1100
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1118
"Total","Jerome Williams","2 Tms",0.2,5,0,0,0,27.00000027,0,0,0,0.6,4.50000005,0.33333333,-5,42.140077456421515,12.848791585347175,1137
"Total","Tommy Hunter","6 Tms",12,45,6.00000001,4.50000001,1.33333333,0,0.17777778,0.13333333,0.04444444,0.189189189,1.08333334,0.22580645,0.69230769,3.3256916724793713,5.402590952987193,1157
"Total","Matt Bush","2 Tms",5.1,21,11.81250001,1.6875,7,1.6875,0.33333333,0.04761905,0.28571429,0.277777777,1.125,0.36363636,0.35714286,4.080898714663919,2.855246088113608,1246
"Total","Adam Ottavino","4 Tms",17,62,9.52941176,3.70588235,2.57142857,1.05882353,0.29032258,0.11290323,0.17741936,0.1875,0.94117647,0.21212121,0.52631579,4.166258170574694,4.197520026639771,1247
"Total","Curtis Partch","PIT",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,1,7.646560360343018,7.646560360343018,1333
"Total","Blake Wood","CIN",6,19,12,0,8,3,0.42105263,0,0.42105263,0.210526315,0.66666667,0.22222222,-1.66666667,4.816920153299968,1.9093226263920473,1345
"Total","Nick Hagadone","CLE",1,5,9,0,1,0,0.2,0,0.2,0.4,2,0.5,1,1.1335937500000002,4.084941831231117,1351
"Total","Andrew Bailey","2 Tms",2.1,13,3.85714286,15.42857145,0.25,3.85714286,0.07692308,0.30769231,-0.23076923,0.333333333,2.57142858,0.14285714,0.2173913,12.998146125698275,10.119238796573208,1368
"Total","Charlie Furbush","SEA",0,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1370
"Total","Joaquin Benoit","3 Tms",4,20,11.25,4.5,2.5,0,0.25,0.1,0.15,0.4,2,0.5,0,2.9011767625901044,5.484482046971017,1437
"Total","Felix Doubront","2 Tms",1.1,4,0,0,0,0,0,0,0,0.5,1.49999999,0.5,0.5,3.1335937500000006,3.1335937500000006,1478
"Total","Jon Edwards","2 Tms",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,1,7.633593727500001,12.060615827211567,1483
"Total","Oliver Perez","4 Tms",11,49,9.00000001,5.72727273,1.57142857,0.81818182,0.2244898,0.14285714,0.08163265,0.275,1.63636364,0.34482759,0.05681818,4.532783266821146,5.247797994749348,1514
"Total","Sean Doolittle","4 Tms",7.1,37,6.13636365,4.90909092,1.25,1.22727273,0.13513514,0.10810811,0.02702703,0.354838709,2.04545455,0.38461538,0.4109589,5.610968806573904,6.9145371880508755,1581
"Total","Francisco Rodriguez","DET",0.2,6,13.49999993,13.49999993,1,13.49999993,0.16666667,0.16666667,0,0.6,5.99999997,0.66666667,0,24.15763958921387,9.994058556945301,1642
"Total","Javier Lopez","SFG",3.1,10,8.10000001,2.7,3,0,0.3,0.1,0.2,0,0.3,0,0,2.2387804022294278,3.1811628394174902,1663
"Total","Chris Capuano","2 Tms",1.1,7,20.2499999,13.49999993,1.5,0,0.42857143,0.28571429,0.14285714,0.2,2.24999999,0.5,1,3.1400770664215094,4.389277620328038,1701
"Total","Chin-hui Tsao","LAD",0.1,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1776
"Total","Kevin Gregg","CIN",0.2,4,26.99999987,13.49999993,2,0,0.5,0.25,0.25,0.333333333,2.99999999,1,0.5,1.6335937575000006,1.6335937575000006,1793
"Total","Neal Cotts","2 Tms",4.2,15,7.71428573,0,4,1.92857143,0.26666667,0,0.26666667,0.214285714,0.64285714,0.2,-1.25,4.205022322959184,2.684171498457019,1797
"Total","Matt Belisle","3 Tms",9,37,7,3,2.33333333,1,0.18918919,0.08108108,0.10810811,0.294117647,1.44444444,0.34615385,0.34482759,4.039790132320595,4.0361736113925835,1837
"Total","Edwin Jackson","4 Tms",3.1,13,5.40000001,2.7,2,2.7,0.15384615,0.07692308,0.07692308,0.363636363,1.5,0.33333333,0.27777778,6.738591674583909,5.3139764472183515,1841
"Total","Ryan Madson","4 Tms",8.1,28,9.72,1.08,9,0,0.32142857,0.03571429,0.28571429,0.208333333,0.72,0.29411765,0.85714286,1.706767691985569,2.4362041586731986,1852
"Total","Matt Moore","4 Tms",8.1,34,9.72,5.4,1.8,1.08,0.26470588,0.14705882,0.11764706,0.214285714,1.32,0.26315789,0.41666667,4.392347937085172,4.398182542781323,1890
"Total","David Aardsma","ATL",2,4,4.5,0,1,0,0.25,0,0.25,0,0,0,1,2.13359375,2.8714307703077795,1902
"Total","Jason Frasor","KCR",1.1,4,0,0,0,0,0,0,0,0.25,0.75,0.25,0,3.1335937500000006,4.240349283228558,1906
"Total","Matt Thornton","2 Tms",4,14,4.5,4.5,1,0,0.14285714,0.14285714,0,0.09090909,0.75,0.1,0.33333333,3.6368354082107546,5.481427958980203,1918
"Total","Ivan Nova","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,1994
"Total","Buddy Carlyle","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,2010
