Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","6 Tms",7.1,31,8.59090909,2.45454546,3.5,2.45454546,0.22580645,0.06451613,0.16129032,0.185185185,0.95454545,0.16666667,-0.16129032,6.42029231478908,4.911527649545431,18
"Total","Xavier Cedeno","4 Tms",8,33,11.25,4.5,2.5,1.125,0.3030303,0.12121212,0.18181818,0.142857142,1,0.16666667,0.45454545,3.770511003328374,3.5660842621008664,36
"Total","Zach Phillips","PIT",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.14656039784301766,0.14656039784301766,99
"Total","Rafael Betancourt","COL",2,9,9,4.5,2,4.5,0.22222222,0.11111111,0.11111111,0.25,1.5,0.2,0,9.13359375,6.322778851538897,177
"Total","Bartolo Colon","TEX",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,375
"Total","Fernando Rodney","5 Tms",5.1,22,11.81250001,8.43750001,1.4,0,0.31818182,0.22727273,0.09090909,0.058823529,1.125,0.1,0.16666667,3.349534076578548,3.9688897387601885,494
"Total","Jason Grilli","3 Tms",3,13,18,6,3,0,0.46153846,0.15384615,0.30769231,0.181818181,1.33333333,0.4,0.75,1.1502534866333014,2.260653984546662,521
"Total","Jeremy Affeldt","SFG",0.2,5,13.49999993,13.49999993,1,0,0.2,0.2,0,0.5,4.49999998,0.66666667,0.33333333,4.6335937425000004,4.6335937425000004,583
"Total","Grant Balfour","TBR",0.1,4,0,27.00000027,0,27.00000027,0,0.25,-0.25,0.5,6.00000006,0,0,60.13359432000001,29.987638262233798,718
"Total","LaTroy Hawkins","2 Tms",2,9,18,4.5,4,0,0.44444444,0.11111111,0.33333333,0.25,1.5,0.5,1,0.6335937500000002,1.3714307703077795,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,739
"Total","Randy Choate","STL",3,14,9,3,3,0,0.21428571,0.07142857,0.14285714,0.25,1.33333333,0.33333333,0.4,3.1335937500000006,3.1335937500000006,813
"Total","Scott Carroll","CHW",1.1,5,6.75000002,6.75000002,1,0,0.2,0.2,0,0,0.75,0,1,3.8835937518750008,3.8835937518750008,888
"Total","Joe Beimel","SEA",2.1,8,0,3.85714286,0,0,0,0.125,-0.125,0.285714285,1.28571429,0.28571429,0.33333333,4.419308037551021,6.316603235338589,979
"Total","Aaron Thompson","MIN",1,5,0,0,0,9,0,0,0,0.4,2,0.25,0,16.13359375,6.084941831231117,999
"Total","Ryan Vogelsong","2 Tms",1.1,11,6.75000002,13.50000003,0.5,0,0.09090909,0.18181818,-0.09090909,0.555555555,5.25000001,0.625,0.28571429,6.143318732156576,8.641719858707638,1011
"Total","Rafael Soriano","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1100
"Total","Marco Estrada","TOR",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.13359384,12.133593840000003,1118
"Total","Jerome Williams","2 Tms",0.2,3,0,13.49999993,0,0,0,0.33333333,-0.33333333,0,1.49999999,0,0,7.638780380652767,7.638780380652767,1137
"Total","Tommy Hunter","6 Tms",14,59,7.71428573,1.92857143,4,2.57142858,0.20338983,0.05084746,0.15254237,0.303571428,1.42857143,0.325,0.13888889,5.8040356480704345,4.084052270647273,1157
"Total","Matt Bush","2 Tms",11,47,11.45454545,3.27272727,3.5,0.81818182,0.29787234,0.08510638,0.21276596,0.214285714,1.18181818,0.2962963,0.15873016,3.141005735704234,3.4795858577524386,1246
"Total","Adam Ottavino","4 Tms",25,100,9.72,2.88,3.375,0.36,0.27,0.08,0.19,0.241758241,1.2,0.33333333,0.67567568,2.613714819193221,3.3404805391507373,1247
"Total","Curtis Partch","PIT",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,1333
"Total","Blake Wood","2 Tms",8.1,33,11.88,4.32,2.75,1.08,0.33333333,0.12121212,0.21212121,0.178571428,1.08,0.25,0.34883721,3.8711037829380777,3.3240488970934163,1345
