Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","6 Tms",7.1,31,0.444444444,0.35,0.2,0.45,0.111111111,0.222222222,0,0,0.25,0.4,0.35,0.2,0.45,0.35,18
"Total","Xavier Cedeno","4 Tms",8,33,1,0.222222222,0.388888888,0.388888888,0,0.142857142,0,0,0.55555556,0.33333333,0.11111111,0.11111111,0.72222222,0.16666667,36
"Total","Zach Phillips","PIT",0.2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,99
"Total","Rafael Betancourt","COL",2,9,0,0.166666666,0,0.833333333,0,0.2,0,0,0.16666667,0.5,0.33333333,0.16666667,0.16666667,0.66666667,177
"Total","Bartolo Colon","TEX",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
"Total","Fernando Rodney","5 Tms",5.1,22,3,0.2,0.6,0.2,0.5,0,0,0,0.2,0.5,0.3,0.2,0.6,0.2,494
"Total","Jason Grilli","3 Tms",3,13,1,0.2,0.4,0.4,0,0,0.5,0,0,0.2,0.8,0,0.4,0.6,521
"Total","Jeremy Affeldt","SFG",0.2,5,1,0.666666666,0.333333333,0,0,0,0,0,0.33333333,0.66666667,0,0,0.66666667,0.33333333,583
"Total","Grant Balfour","TBR",0.1,4,0,0,0,1,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0.5,718
"Total","LaTroy Hawkins","2 Tms",2,9,3,0,0.75,0.25,0,0,0.333333333,0,0.5,0.25,0.25,0.5,0.25,0.25,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,739
"Total","Randy Choate","STL",3,14,7,0.222222222,0.777777777,0,0,0,0,0,0.55555556,0.11111111,0.33333333,0.22222222,0.77777778,0,813
"Total","Scott Carroll","CHW",1.1,5,3,0,1,0,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.66666667,0,888
"Total","Joe Beimel","SEA",2.1,8,1.333333333,0,0.571428571,0.428571428,0,0,0,0,0,0.57142857,0.42857143,0.28571429,0.71428571,0,979
"Total","Aaron Thompson","MIN",1,5,0,0.6,0,0.4,0,0.5,0,0,0.6,0.4,0,0,0.6,0.4,999
"Total","Ryan Vogelsong","2 Tms",1.1,11,0,0.75,0,0.25,0,0,0,0,0.625,0.125,0.25,0,0.375,0.625,1011
"Total","Rafael Soriano","CHC",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1100
"Total","Marco Estrada","TOR",0.1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1118
"Total","Jerome Williams","2 Tms",0.2,3,2,0,1,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,1137
"Total","Tommy Hunter","6 Tms",14,59,1.235294117,0.136363636,0.477272727,0.386363636,0.117647058,0.235294117,0.047619047,0,0.47727273,0.36363636,0.15909091,0.20454545,0.52272727,0.27272727,1157
"Total","Matt Bush","2 Tms",11,47,1.1,0.25,0.392857142,0.357142857,0.1,0.1,0.09090909,0,0.42857143,0.25,0.32142857,0.10714286,0.42857143,0.46428571,1246
"Total","Adam Ottavino","4 Tms",25,100,1.666666666,0.25,0.46875,0.28125,0.222222222,0.055555555,0.1,0,0.265625,0.5,0.234375,0.1875,0.53125,0.28125,1247
"Total","Curtis Partch","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333
"Total","Blake Wood","2 Tms",8.1,33,1.6,0.235294117,0.470588235,0.294117647,0,0.2,0.125,0,0.29411765,0.41176471,0.29411765,0.29411765,0.58823529,0.11764706,1345
"Total","Nick Hagadone","CLE",1.1,7,2,0.4,0.4,0.2,0,0,0.5,0,0.6,0.4,0,0,1,0,1351
"Total","Andrew Bailey","3 Tms",2,14,2,0.333333333,0.444444444,0.222222222,0,0.5,0,0,0.44444444,0.33333333,0.22222222,0.11111111,0.55555556,0.33333333,1368
"Total","Charlie Furbush","SEA",1,3,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0.5,1370
"Total","Joaquin Benoit","3 Tms",3.2,14,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0.44444444,0.22222222,0.33333333,0.11111111,0.33333333,0.55555556,1437
"Total","Jon Edwards","2 Tms",1.1,6,1,0,0.5,0.5,0,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,1483
"Total","Oliver Perez","4 Tms",11,49,0.529411764,0.133333333,0.3,0.566666666,0.058823529,0.058823529,0.111111111,0,0.3,0.4,0.3,0.23333333,0.4,0.36666667,1514
"Total","Sean Doolittle","4 Tms",8,33,0.166666666,0.263157894,0.105263157,0.631578947,0.166666666,0.083333333,0.5,0,0.36842105,0.36842105,0.26315789,0.21052632,0.36842105,0.42105263,1581
"Total","Francisco Rodriguez","DET",1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,1,1642
"Total","Javier Lopez","SFG",5.1,30,2.75,0.210526315,0.578947368,0.210526315,0.25,0,0.09090909,0,0.42105263,0.31578947,0.26315789,0.31578947,0.52631579,0.15789474,1663
"Total","Chris Capuano","2 Tms",1.2,12,0.5,0.142857142,0.285714285,0.571428571,0,0.25,0.5,0,0.28571429,0.42857143,0.28571429,0,0.57142857,0.42857143,1701
"Total","Chin-hui Tsao","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776
"Total","Kevin Gregg","CIN",0.1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1793
"Total","Neal Cotts","2 Tms",5,21,0.5,0.307692307,0.23076923,0.461538461,0.333333333,0.333333333,0,0,0.38461538,0.38461538,0.23076923,0.30769231,0.38461538,0.30769231,1797
"Total","Matt Belisle","3 Tms",7.1,37,0.444444444,0.409090909,0.181818181,0.409090909,0.111111111,0,0.25,0,0.22727273,0.40909091,0.36363636,0.09090909,0.68181818,0.22727273,1837
"Total","Edwin Jackson","6 Tms",3.1,14,0.6,0.111111111,0.333333333,0.555555555,0,0.2,0,0,0.44444444,0.44444444,0.11111111,0.11111111,0.44444444,0.44444444,1841
"Total","Ryan Madson","4 Tms",12.1,49,1.777777777,0.193548387,0.516129032,0.29032258,0,0,0.0625,0,0.35483871,0.35483871,0.29032258,0.16129032,0.64516129,0.19354839,1852
"Total","Sean Burnett","WSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886
"Total","Matt Moore","4 Tms",9.2,40,1.2,0.214285714,0.428571428,0.357142857,0.2,0.1,0,0,0.46428571,0.28571429,0.25,0.21428571,0.53571429,0.25,1890
"Total","David Aardsma","ATL",1.2,8,0.5,0.25,0.25,0.5,0,0,0,0,0.75,0.25,0,0,0.5,0.5,1902
"Total","Jason Frasor","2 Tms",1.1,5,1,0,0.5,0.5,0,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,1906
"Total","Matt Thornton","2 Tms",4.1,21,4,0.411764705,0.470588235,0.117647058,0,0,0.125,0,0.52941176,0.35294118,0.11764706,0,0.52941176,0.47058824,1918
"Total","Zack Greinke","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943
"Total","Cory Luebke","PIT",0.1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1984
"Total","Ivan Nova","NYY",0.2,3,2,0,1,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,1994
"Total","Buddy Carlyle","NYM",0.2,4,2,0,0.666666666,0.333333333,0,0,0,0,0,0.66666667,0.33333333,0,0.66666667,0.33333333,2010
"Total","Jorge De La Rosa","2 Tms",5.1,20,1.666666666,0,0.625,0.375,0.666666666,0.333333333,0,0,0.5,0.25,0.25,0.375,0.5,0.125,2047
"Total","Jeremy Guthrie","KCR",0.2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2072
"Total","Chien-Ming Wang","KCR",1.1,5,0.333333333,0,0.25,0.75,0,0,0,0,0.25,0.5,0.25,0,0.5,0.5,2074
"Total","Adam Loewen","2 Tms",1,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2134
"Total","Chris Narveson","MIA",0.1,3,0,0.5,0,0.5,0,2,0,0,1,0,0,0,0,1,2141
"Total","Alfredo Simon","CIN",0.2,2,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0,2155
"Total","Chad Qualls","2 Tms",2.1,16,1.666666666,0.333333333,0.416666666,0.25,0,0.666666666,0,0,0.58333333,0.25,0.16666667,0,0.5,0.5,2170
"Total","Blaine Boyer","4 Tms",10.1,52,2.555555555,0.157894736,0.605263157,0.236842105,0.111111111,0,0.173913043,0,0.42105263,0.28947368,0.28947368,0.10526316,0.57894737,0.31578947,2237
"Total","Brandon Gomes","TBR",1.2,7,1,0.2,0.4,0.4,0,0.5,0,0,0,0.8,0.2,0,0.4,0.6,2267
"Total","Joel Peralta","2 Tms",2.1,9,0.666666666,0,0.4,0.6,0,0.333333333,0,0,0.4,0.2,0.4,0.2,0.4,0.4,2332
"Total","Anthony Varvaro","BOS",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2385
"Total","Hector Rondon","3 Tms",12.2,52,1.384615384,0.162162162,0.486486486,0.351351351,0.076923076,0.153846153,0.055555555,0,0.27027027,0.35135135,0.37837838,0.16216216,0.51351351,0.32432432,2391
"Total","Cory Rasmus","LAA",2.1,12,0.75,0.125,0.375,0.5,0.25,0,0,0,0.375,0.375,0.25,0.375,0.25,0.375,2413
"Total","Corey Kluber","BOS",1,3,0,0,0,1,0.333333333,0,0,0,0,0.33333333,0.66666667,0.33333333,0.33333333,0.33333333,2429
"Total","Lance Lynn","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520
"Total","Jhoulys Chacin","2 Tms",6.1,22,0.666666666,0.333333333,0.266666666,0.4,0,0,0,0,0.2,0.6,0.2,0.13333333,0.6,0.26666667,2608
