Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","6 Tms",7.2,35,11.73913043,3.52173913,3.33333333,0,0.28571429,0.08571429,0.2,0.28125,1.56521739,0.40909091,1,1.7130232734224808,3.2018838284161792,18
"Total","Xavier Cedeno","2 Tms",1,7,0,0,0,0,0,0,0,0.571428571,4,0.57142857,1,3.1569393396377565,8.477346715331077,36
"Total","Rafael Betancourt","COL",0.2,3,26.99999987,0,2,0,0.66666667,0,0.66666667,0.333333333,1.49999999,1,1,-2.8664062199999996,-2.8664062199999996,177
"Total","Bartolo Colon","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.859696853606535,1.5673253125103626,375
"Total","Fernando Rodney","8 Tms",32,136,11.8125,2.8125,4.2,1.40625,0.30882353,0.07352941,0.23529412,0.225806451,1.1875,0.2987013,1,3.687184909849847,2.926222202626476,494
"Total","Jason Grilli","3 Tms",9.1,44,13.49999999,1.92857143,7,1.92857143,0.31818182,0.04545455,0.27272727,0.309523809,1.60714286,0.42307692,1,3.569459552618575,2.7988251212448896,521
"Total","Jeremy Affeldt","SFG",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,583
"Total","Rhiner Cruz","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,711
"Total","LaTroy Hawkins","2 Tms",2,9,9,4.5,2,0,0.22222222,0.11111111,0.11111111,0.25,1.5,0.33333333,1,2.63359375,4.109267790615559,729
"Total","Kyle Lohse","MIL",1,3,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,-0.8664062499999998,-0.8664062499999998,739
"Total","Todd Frazier","NYM",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.808580744661865,-2.808580744661865,785
"Total","Randy Choate","STL",0.2,3,13.49999993,0,1,0,0.33333333,0,0.33333333,0.333333333,1.49999999,0.5,1,0.13359376500000053,0.13359376500000053,813
"Total","Scott Carroll","CHW",2,7,13.5,0,3,4.5,0.42857143,0,0.42857143,0.142857142,0.5,0,1,6.63359375,1.6092677906155588,888
"Total","Joe Beimel","SEA",0.1,4,27.00000027,27.00000027,1,0,0.25,0.25,0,0.666666666,9.00000009,1,1,6.13359378,10.560615946116897,979
"Total","Ryan Vogelsong","SFG",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1011
"Total","Jake Peavy","SFG",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,1051
"Total","Rafael Soriano","CHC",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1100
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1118
"Total","Jerome Williams","2 Tms",1,4,9,0,1,0,0.25,0,0.25,0.25,1,0.33333333,1,1.1422381719385672,2.807838918808608,1137
"Total","Tommy Hunter","5 Tms",7,30,6.42857143,6.42857143,1,0,0.16666667,0.16666667,0,0.12,1.14285714,0.15,1,3.875629048115729,5.042096353920731,1157
"Total","Andrew Romine","2 Tms",0.1,3,0,0,0,27.00000027,0,0,0,0.666666666,6.00000006,0.5,1,42.16763387581208,13.4155652624142,1159
"Total","Matt Bush","2 Tms",8.2,40,8.30769231,0,8,2.07692308,0.2,0,0.2,0.325,1.5,0.36666667,1,4.307247509341356,4.214307670502812,1246
"Total","Adam Ottavino","4 Tms",18,77,13.00000001,5,2.6,0.5,0.33766234,0.12987013,0.20779221,0.142857142,1.05555556,0.21621622,1,3.1739993854781496,3.645529527255975,1247
"Total","Blake Wood","2 Tms",5.2,19,9.52941178,3.17647059,3,0,0.31578947,0.10526316,0.21052632,0,0.35294118,0,1,2.094418322495266,2.7022548607117596,1345
"Total","Nick Hagadone","CLE",0.1,2,0,0,0,27.00000027,0,0,0,0.5,3.00000003,0,1,42.13359414000001,11.987638082233797,1351
"Total","Andrew Bailey","2 Tms",3,12,6.00000002,0,2,0,0.16666667,0,0.16666667,0.25,1,0.3,1,1.814458079653794,5.183394768657376,1368
"Total","Charlie Furbush","SEA",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1335937500000002,2.609267790615559,1370
