Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","6 Tms",19.2,81,1,0.344827586,0.327586206,0.327586206,0.105263157,0,0,0,0.25862069,0.43103448,0.31034483,0.22413793,0.63793103,0.13793103,18
"Total","Xavier Cedeno","3 Tms",5,21,1.166666666,0.277777777,0.388888888,0.333333333,0,0,0.142857142,0,0.33333333,0.38888889,0.27777778,0.05555556,0.72222222,0.22222222,36
"Total","Rafael Betancourt","COL",2,7,0,0.25,0,0.75,0.333333333,0,0,0,0.25,0,0.75,0.25,0.75,0,177
"Total","Bartolo Colon","2 Tms",0.2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,375
"Total","Fernando Rodney","8 Tms",60.2,253,1.319148936,0.282894736,0.407894736,0.309210526,0.063829787,0.14893617,0.048387096,0.5,0.3961039,0.31818182,0.28571429,0.22727273,0.5,0.27272727,494
"Total","Jason Grilli","3 Tms",18.1,78,0.321428571,0.229166666,0.1875,0.583333333,0.107142857,0.142857142,0.222222222,0,0.375,0.27083333,0.35416667,0.25,0.4375,0.3125,521
"Total","Jeremy Affeldt","SFG",2.2,9,6,0,0.857142857,0.142857142,1,0,0,0,0.14285714,0.57142857,0.28571429,0.28571429,0.57142857,0.14285714,583
"Total","Rhiner Cruz","TOR",0.2,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,711
"Total","LaTroy Hawkins","2 Tms",4,18,1.4,0,0.583333333,0.416666666,0,0,0,0,0.16666667,0.33333333,0.5,0.08333333,0.75,0.16666667,729
"Total","Kyle Lohse","MIL",1.1,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,739
"Total","Todd Frazier","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785
"Total","Randy Choate","STL",1.1,4,3,0,1,0,0,0,0,0,0,0.33333333,0.66666667,0,1,0,813
"Total","Scott Carroll","CHW",2,7,1,0,0.5,0.5,0,0.5,0,0,0.75,0.25,0,0,0.75,0.25,888
"Total","Joe Beimel","SEA",2.1,8,3,0,0.75,0.25,0,0,0,0,0.5,0,0.5,0.25,0.75,0,979
"Total","Aaron Thompson","MIN",1,2,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,999
"Total","Ryan Vogelsong","2 Tms",0.2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1011
"Total","Jake Peavy","SFG",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1051
"Total","Rafael Soriano","CHC",0.1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1100
"Total","Marco Estrada","TOR",1,3,1,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,1118
