Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","6 Tms",54,81,4.57627119,21,2,1,11,10,0,7,1,0,16,0.287671232,0.345679012,0.342465753,0.3007643349468708,18
"Total","Xavier Cedeno","3 Tms",16,21,7.2,8,1,0,4,4,0,1,0,0,2,0.421052631,0.428571428,0.47368421,0.38402546587444486,36
"Total","Rafael Betancourt","COL",6,7,4.5,1,0,0,1,1,0,0,0,0,3,0.166666666,0.142857142,0.166666666,0.12583197866167342,177
"Total","Bartolo Colon","2 Tms",2,3,0,1,1,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.666666666,0.4187568426132202,375
"Total","Fernando Rodney","8 Tms",176,253,4.00549451,51,5,0,31,27,7,24,2,5,70,0.23076923,0.316205533,0.348416289,0.29295666972954437,494
"Total","Jason Grilli","3 Tms",59,78,7.36363636,17,3,0,16,15,4,4,0,1,25,0.242857142,0.282051282,0.457142857,0.31011772537842774,521
"Total","Jeremy Affeldt","SFG",7,9,3.375,1,0,0,1,1,0,1,0,0,1,0.125,0.222222222,0.125,0.17418520980411106,583
"Total","Rhiner Cruz","TOR",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711
"Total","LaTroy Hawkins","2 Tms",12,18,2.25,5,0,1,1,1,0,1,0,0,5,0.294117647,0.333333333,0.411764705,0.32246172428131104,729
"Total","Kyle Lohse","MIL",4,6,0,0,0,0,0,0,0,2,1,0,3,0,0.333333333,0,0.13736860752105712,739
"Total","Todd Frazier","NYM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,785
"Total","Randy Choate","STL",4,4,6.75000002,1,0,0,1,1,0,0,0,0,1,0.25,0.25,0.25,0.22020596265792847,813
"Total","Scott Carroll","CHW",6,7,4.5,1,0,0,1,1,1,0,0,0,3,0.142857142,0.142857142,0.571428571,0.2950420379638672,888
"Total","Joe Beimel","SEA",7,8,0,2,1,0,1,0,0,1,0,0,3,0.285714285,0.375,0.428571428,0.3529921770095825,979
"Total","Aaron Thompson","MIN",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
"Total","Ryan Vogelsong","2 Tms",3,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23020400603612265,1011
"Total","Jake Peavy","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051
"Total","Rafael Soriano","CHC",1,2,27.00000027,1,0,0,1,1,1,0,0,0,1,0.5,0.5,2,1.0326471328735352,1100
"Total","Marco Estrada","TOR",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1118
"Total","Joe Nathan","SFG",1,2,0,2,1,0,0,0,0,0,0,0,0,1,1,1.5,1.0602368414402008,1122
"Total","Jerome Williams","2 Tms",5,9,5.39999999,3,2,0,1,1,0,0,0,0,1,0.375,0.333333333,0.625,0.37545710139804417,1137
"Total","Tommy Hunter","6 Tms",40,54,4.5,9,0,0,7,7,1,5,0,0,8,0.183673469,0.259259259,0.244897959,0.23087929796289514,1157
"Total","Andrew Romine","3 Tms",4,8,6.75000002,3,0,0,1,1,1,1,0,0,0,0.5,0.5,1,0.556904599070549,1159
"Total","Albert Pujols","STL",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44192540645599365,1177
"Total","Matt Bush","2 Tms",50,75,6.6122449,23,5,0,14,12,2,2,0,0,13,0.323943661,0.333333333,0.478873239,0.34282721360524493,1246
"Total","Adam Ottavino","4 Tms",106,137,1.94594595,19,4,0,10,8,1,13,1,3,50,0.159663865,0.257352941,0.218487394,0.22049862499590273,1247
"Total","Blake Wood","2 Tms",25,29,1.03846154,1,0,0,1,1,0,2,0,1,11,0.038461538,0.137931034,0.038461538,0.10277627048821285,1345
"Total","Nick Hagadone","CLE",4,9,10.79999998,4,0,0,2,2,1,1,0,0,1,0.5,0.555555555,0.875,0.5994009839163886,1351
"Total","Andrew Bailey","2 Tms",15,20,5.0625,6,0,1,3,3,1,0,0,0,3,0.3,0.3,0.55,0.3548901915550232,1368
"Total","Charlie Furbush","SEA",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1370
"Total","Joaquin Benoit","4 Tms",17,20,0,1,0,0,0,0,0,2,0,0,5,0.055555555,0.15,0.055555555,0.11282529532909394,1437
"Total","Jon Edwards","2 Tms",8,11,0,2,0,0,0,0,0,1,0,0,5,0.2,0.272727272,0.2,0.221570378000086,1483
"Total","Oliver Perez","4 Tms",27,40,6.75000001,12,0,1,6,6,2,4,0,0,7,0.333333333,0.4,0.555555555,0.40909736007452013,1514
"Total","David Ross","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551
"Total","Sean Doolittle","4 Tms",149,206,2.84210526,44,8,2,17,16,7,9,1,2,69,0.226804123,0.266990291,0.396907216,0.27981471957229986,1581
"Total","Francisco Rodriguez","2 Tms",118,154,3.024,28,6,1,14,14,4,10,1,0,38,0.19858156,0.246753246,0.340425531,0.2491668042014627,1642
"Total","Javier Lopez","SFG",12,15,2.45454545,3,0,0,1,1,0,2,0,0,6,0.23076923,0.333333333,0.23076923,0.26799510717391967,1663
"Total","Chris Capuano","2 Tms",5,5,0,1,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.17569082975387573,1701
"Total","Kevin Gregg","CIN",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,1793
"Total","Neal Cotts","2 Tms",11,17,2.45454546,4,0,0,1,1,1,2,0,0,3,0.266666666,0.352941176,0.466666666,0.35773246428545785,1797
"Total","Matt Belisle","4 Tms",38,50,8.25000001,8,5,0,13,11,0,4,1,1,10,0.181818181,0.26,0.295454545,0.23701306143585515,1837
"Total","Edwin Jackson","3 Tms",7,12,3.85714286,4,1,0,2,1,0,1,0,0,3,0.4,0.416666666,0.5,0.3810611168543498,1841
"Total","Jonny Gomes","ATL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1845
"Total","Ryan Madson","4 Tms",69,92,3,18,3,0,8,8,1,4,1,2,24,0.216867469,0.260869565,0.289156626,0.2369872089270707,1852
"Total","Matt Moore","4 Tms",24,32,4.5,6,1,0,4,4,0,3,1,0,5,0.214285714,0.29032258,0.25,0.2344631810983022,1890
"Total","David Aardsma","ATL",3,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,1902
"Total","Adam LaRoche","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904
"Total","Jason Frasor","KCR",9,15,3,4,2,0,1,1,1,2,0,0,2,0.307692307,0.4,0.692307692,0.4554896831512451,1906
"Total","Matt Thornton","2 Tms",10,14,4.9090909,3,1,0,2,2,1,1,0,0,2,0.23076923,0.285714285,0.538461538,0.34470318044934956,1918
"Total","Cory Luebke","PIT",3,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17265300452709198,1984
"Total","Ivan Nova","NYY",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23020400603612265,1994
"Total","Buddy Carlyle","NYM",2,3,81.00000081,2,0,0,3,3,0,0,0,0,0,0.666666666,0.666666666,0.666666666,0.5872159004211426,2010
"Total","Justin Masterson","BOS",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,2038
"Total","Jorge De La Rosa","2 Tms",20,33,4.2631579,6,1,0,4,3,1,5,1,0,8,0.222222222,0.333333333,0.37037037,0.2971083987504244,2047
"Total","Jeremy Guthrie","KCR",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072
"Total","Chien-Ming Wang","KCR",14,19,1.8,2,1,0,1,1,0,3,0,0,4,0.125,0.263157894,0.1875,0.2206478809055529,2074
"Total","Adam Loewen","2 Tms",7,13,10.12499999,3,1,0,3,3,1,3,0,0,1,0.333333333,0.461538461,0.777777777,0.481870541205773,2134
"Total","David Peralta","ARI",1,4,81.00000081,3,1,0,3,3,1,0,0,0,1,0.75,0.75,1.75,1.0318051129579544,2136
"Total","Chris Narveson","MIA",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141
"Total","Chad Qualls","2 Tms",19,22,3,5,0,0,3,2,0,0,0,0,6,0.238095238,0.227272727,0.238095238,0.19975638389587402,2170
