Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Neftali Feliz","6 Tms",6,31,7.50000001,10.50000002,0.71428571,3.00000001,0.16129032,0.22580645,-0.06451613,0.25,2.16666667,0.23529412,0.49019608,9.31585345237579,6.344947018431531,18
"Total","Xavier Cedeno","2 Tms",1.1,6,20.25000005,6.75000002,3,0,0.5,0.16666667,0.33333333,0.2,1.5,0.5,0,0.8967865172385991,0.8967865172385991,36
"Total","Rafael Betancourt","COL",0.1,3,0,0,0,27.00000027,0,0,0,0.666666666,6.00000006,0.5,-6.66666667,42.13359414000001,7.560615916116898,177
"Total","Bartolo Colon","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,375
"Total","Fernando Rodney","7 Tms",23,107,9.39130434,5.47826087,1.71428571,0,0.22429907,0.13084112,0.09345794,0.252747252,1.60869565,0.34328358,0.28205128,3.1547126880591185,4.868742195430341,494
"Total","Jason Grilli","3 Tms",6.2,31,13.49999999,5.4,2.5,0,0.32258065,0.12903226,0.19354839,0.185185185,1.35,0.29411765,0.22222222,1.9434952265134446,3.4195195517124652,521
"Total","Jeremy Affeldt","SFG",0.2,3,0,0,0,0,0,0,0,0.333333333,1.49999999,0.33333333,0,3.1335937500000006,3.1335937500000006,583
"Total","Rhiner Cruz","TOR",0,1,0,9,0,0,0,1,-1,0,1,0,1,6.160431575775147,6.160431575775147,711
"Total","LaTroy Hawkins","2 Tms",2.2,11,6.74999999,0,2,0,0.18181818,0,0.18181818,0.272727272,1.125,0.33333333,0,1.6335937518749992,3.293727045492336,729
"Total","Kyle Lohse","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,739
"Total","Randy Choate","STL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,813
"Total","Scott Carroll","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,888
"Total","Joe Beimel","SEA",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1335937500000002,1.1335937500000002,979
"Total","Aaron Thompson","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,999
"Total","Ryan Vogelsong","SFG",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1011
"Total","Marco Estrada","TOR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1118
"Total","Joe Nathan","DET",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1122
"Total","Jerome Williams","STL",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,0,3.146560382843018,8.143362673421164,1137
"Total","Tommy Hunter","5 Tms",3.1,13,5.40000002,2.70000001,2,0,0.15384615,0.07692308,0.07692308,0.166666666,0.9,0.2,0,2.839170671111372,3.7245750990223248,1157
"Total","Andrew Romine","DET",0.1,2,0,0,0,0,0,0,0,0,0,0,1,12.157639784213867,17.49405873449159,1159
"Total","Albert Pujols","STL",0,1,0,0,0,9,0,0,0,1,1,0,5,16.112431001663207,4.592800405621529,1177
"Total","Matt Bush","2 Tms",5.1,25,10.12500001,6.75,1.5,3.375,0.24,0.16,0.08,0.19047619,1.5,0.15384615,0.38461538,8.029040187592123,5.652946830168272,1246
"Total","Adam Ottavino","4 Tms",15,64,13.8,3.6,3.83333333,1.2,0.359375,0.09375,0.265625,0.192982456,1.13333333,0.28125,0.32894737,3.245757251315373,2.1927242520779946,1247
"Total","Blake Wood","2 Tms",2,11,13.50000007,4.50000002,3,0,0.27272727,0.09090909,0.18181818,0.3,2.00000001,0.42857143,-0.25,1.6502534791148362,3.372457010646462,1345
"Total","Nick Hagadone","CLE",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,1351
"Total","Andrew Bailey","2 Tms",1,5,0,0,0,0,0,0,0,0.25,1,0.25,0,6.146560382843018,9.477761876583099,1368
"Total","Joaquin Benoit","5 Tms",1.1,6,20.2500002,6.75000007,3,6.75000007,0.5,0.16666667,0.33333333,0.2,1.50000002,0,-1.66666667,10.651039116819934,3.569248494458791,1437
"Total","Jon Edwards","2 Tms",1,3,0,0,0,0,0,0,0,0,0,0,1,3.1872042340733913,5.176410116026631,1483
"Total","Oliver Perez","4 Tms",5.1,27,13.50000003,1.6875,8,0,0.2962963,0.03703704,0.25925926,0.36,1.875,0.52941176,0.36363636,1.2790230882589178,3.454871399855233,1514
"Total","Sean Doolittle","4 Tms",16.1,70,9.91836735,2.20408163,4.5,0.55102041,0.25714286,0.05714286,0.2,0.246153846,1.2244898,0.32608696,0.40816327,2.6933922338595466,4.468795105239427,1581
"Total","Francisco Rodriguez","2 Tms",15.1,64,9.39130434,4.69565217,2,1.17391304,0.25,0.125,0.125,0.196428571,1.23913043,0.23684211,0.12345679,4.31628088692651,4.4744112710295445,1642
"Total","Javier Lopez","SFG",2.1,9,3.85714286,3.85714286,1,0,0.11111111,0.11111111,0,0.125,0.85714286,0.14285714,0.5,3.564017555288227,4.8288810204799395,1663
"Total","Kevin Gregg","CIN",0,1,0,0,0,0,0,0,0,1,1,1,0,3.13359375,3.13359375,1793
"Total","Neal Cotts","MIL",1.1,8,0,20.25000005,0,0,0,0.375,-0.375,0.2,3.00000001,0.2,0.5,9.883593766875,10.990349300103558,1797
"Total","Matt Belisle","4 Tms",4,16,6.74999998,2.24999999,3,0,0.1875,0.0625,0.125,0.2,1,0.25,0,2.4036393899632604,3.2612447370917366,1837
"Total","Edwin Jackson","3 Tms",1.2,8,10.80000004,0,2,0,0.25,0,0.25,0.375,1.80000001,0.5,-0.33333333,0.7361870669530437,1.6215914948639962,1841
"Total","Jonny Gomes","ATL",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1845
"Total","Ryan Madson","4 Tms",7.2,37,5.86956522,2.34782609,2.5,2.34782609,0.13513514,0.05405405,0.08108108,0.333333333,1.69565218,0.34615385,-0.08196721,6.802074121535986,4.94265318287852,1852
"Total","Matt Moore","3 Tms",0.2,6,13.50000014,13.50000014,1,0,0.16666667,0.16666667,0,0.4,4.50000005,0.5,-0.66666667,4.657858428333177,4.657858428333177,1890
"Total","David Aardsma","ATL",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1902
"Total","Jason Frasor","KCR",2,9,4.5,13.5,0.33333333,0,0.11111111,0.33333333,-0.22222222,0,1.5,0,1,6.63359375,8.847104810923337,1906
"Total","Matt Thornton","WSN",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,1918
"Total","Cory Luebke","PIT",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,0,12.146560472843019,12.14656047284302,1984
"Total","Ivan Nova","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,1994
"Total","Justin Masterson","BOS",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,2038
"Total","Jorge De La Rosa","2 Tms",2,12,8.99999996,17.99999991,0.5,0,0.16666667,0.33333333,-0.16666667,0.125,2.49999999,0.16666667,0.4,7.159500928588054,8.811116018448761,2047
"Total","Chien-Ming Wang","KCR",1.1,11,6.75000002,6.75000002,1,0,0.09090909,0.09090909,0,0.6,5.25000001,0.66666667,0.14285714,3.8965603847180184,5.14576094799355,2074
